STATION;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
Aalten;374;369;147;156;119;81
Almelo;1528;1674;574;631;387;472
Almelo de Riet;256;235;109;99;64;63
Amersfoort Centraal;3175;2783;1679;1399;1194;953
Apeldoorn;755;735;334;326;220;244
Apeldoorn De Maten;147;144;80;82;57;50
Arnhem Centraal;2873;2724;1538;1462;907;1202
Arnhem Velperpoort;727;857;363;383;201;227
Barneveld Centrum;1424;1405;617;613;381;326
Barneveld Noord;458;450;159;171;131;97
Barneveld Zuid;385;376;163;160;91;80
Barneveld, Aansluiting;0;0;0;0;0;0
Borne;417;419;236;245;188;129
Coevorden;438;437;186;195;133;101
Daarlerveen;44;42;12;14;9;7
Dalen;63;63;29;32;25;15
Dalfsen;343;348;189;203;133;106
Delden;169;171;95;96;66;46
Didam;512;504;222;221;146;118
Doetinchem;1174;1213;465;503;306;243
Doetinchem De Huet;371;371;166;169;125;97
Duiven;722;700;396;366;240;211
Ede Centrum;565;554;456;448;218;226
Ede-Wageningen;1313;1263;759;694;472;636
Elst;330;378;109;120;69;91
Emmen;558;567;310;330;244;219
Emmen Zuid;185;186;83;90;82;54
Enschede;1788;1759;896;811;523;700
Enschede De Eschmarke;10;12;3;3;2;2
Enschede Kennispark;408;361;288;254;106;240
Gaanderen;135;130;81;77;53;40
Glanerburg;49;43;21;19;14;12
Goor;423;423;171;179;136;84
Gramsbergen;74;73;38;39;27;19
Hardenberg;736;745;252;273;186;140
Heino;163;165;86;89;64;51
Hemmen-Dodewaard;38;37;13;12;9;8
Hengelo;2922;2945;1380;1420;1005;977
Hengelo Gezondheidspark;158;124;56;45;41;31
Hengelo Oost;115;101;76;68;44;42
Hoevelaken Hoevelaken;526;511;220;240;156;127
Kampen;1053;1030;469;453;315;255
Kesteren;166;173;48;53;31;28
Klarenbeek;51;51;28;31;20;16
Lichtenvoorde-Groenlo;305;317;127;155;158;90
Lochem;259;262;125;143;126;77
Lunteren Lunteren;415;408;289;287;168;153
Marienberg;132;133;62;74;48;34
Nieuw Amsterdam;158;163;72;84;68;41
Nijverdal;709;704;270;280;203;145
Oldenzaal;552;550;214;238;207;132
Ommen;433;436;228;237;185;122
Opheusden;105;100;34;29;17;16
Raalte;539;554;194;210;159;123
Ruurlo;267;270;118;132;120;74
Terborg;202;201;92;103;79;54
Tiel;304;314;108;115;82;66
Varsseveld;225;225;103;109;81;66
Voorst-Empe;75;74;36;38;26;26
Vorden;250;270;116;127;103;74
Vriezenveen;146;143;45;42;27;20
Vroomshoop;186;176;67;62;40;37
Wehl;194;196;95;97;66;51
Westervoort;319;306;158;151;88;82
Wierden;371;336;164;160;113;77
Winterswijk;550;547;231;243;167;128
Winterswijk West;106;115;41;52;43;30
Zetten-Andelst;173;170;70;69;56;46
Zevenaar;887;872;414;413;259;225
Zutphen;1997;1980;1127;1046;787;1011
Zwolle;4474;4472;2150;2061;1497;1846
Zwolle Stadshagen;219;219;109;99;75;61
