STATION;CONCESSIE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
Aalten;GT;615;609;224;242;199;129
Almelo;TZWEN;2228;2354;577;678;510;495
Almelo;Vechtdal;714;706;314;298;175;311
Almelo de Riet;TZWEN;467;432;182;160;124;114
Amersfoort Centraal;Valleilijn;5257;4770;2615;2263;1808;1524
Apeldoorn;GT;1315;1315;566;575;351;387
Apeldoorn De Maten;GT;266;265;181;173;125;107
Arnhem;GT;5931;5447;2868;2969;1878;2486
Arnhem Velperpoort;GT;1200;1598;591;668;374;436
Barneveld Centrum;Valleilijn;2184;2162;1068;1011;591;544
Barneveld Noord;Valleilijn;698;694;266;270;186;139
Barneveld Zuid;Valleilijn;555;536;279;263;125;125
Barneveld, Aansluiting;Valleilijn;0;0;0;0;0;0
Borne;TZWEN;844;841;430;422;378;275
Coevorden;Vechtdal;787;786;323;326;253;185
Daarlerveen;Vechtdal;77;76;20;19;16;11
Dalen;Vechtdal;108;105;48;49;41;26
Dalfsen;Vechtdal;663;659;354;338;263;201
Delden;TZUHO;339;340;184;177;140;102
Didam;GT;958;946;423;372;275;228
Doetinchem;GT;2189;2264;739;839;591;440
Doetinchem De Huet;GT;644;651;292;286;252;189
Duiven;GT;1372;1333;845;725;521;436
Ede Centrum;Valleilijn;886;838;836;876;365;358
Ede-Wageningen;Valleilijn;2180;2033;1344;1136;796;881
Elst;GT;633;731;152;200;102;140
Emmen;Vechtdal;983;999;502;543;434;378
Emmen Zuid;Vechtdal;364;365;149;156;153;109
Enschede;TENGR;84;96;33;38;26;32
Enschede;TZWEN;3442;3377;1455;1294;968;1261
Enschede De Eschmarke;TENGR;21;22;5;6;3;3
Enschede Kennispark;TZWEN;857;817;449;379;348;575
Gaanderen;GT;215;205;104;97;80;56
Glanerburg;TENGR;76;63;33;28;29;24
Goor;TZUHO;811;810;286;292;251;164
Gramsbergen;Vechtdal;124;115;70;69;49;35
Hardenberg;Vechtdal;1325;1346;412;437;313;232
Heino;TZWEN;321;322;157;159;141;111
Hemmen-Dodewaard;GT;72;70;17;14;8;6
Hengelo;TZUHO;2416;2515;1022;1021;714;989
Hengelo;TZWEN;3028;3111;1135;1307;1086;841
Hengelo Gezondheidspark;TZUHO;286;212;97;71;77;49
Hengelo Oost;TZUHO;180;151;115;99;75;67
Hoevelaken Hoevelaken;Valleilijn;948;911;406;410;284;230
Kampen;TZWKA;1974;1922;788;743;533;434
Kesteren;GT;315;325;59;58;37;35
Klarenbeek;GT;110;107;63;58;39;27
Lichtenvoorde-Groenlo;GT;493;518;185;232;264;121
Lochem;TZUHO;498;501;221;239;233;150
Lunteren Lunteren;Valleilijn;636;632;586;556;263;232
Marienberg;Vechtdal;247;244;117;125;95;62
Nieuw Amsterdam;Vechtdal;294;301;125;131;123;71
Nijverdal;TZWEN;1379;1376;462;467;407;301
Oldenzaal;TZUHO;1006;1002;349;373;398;250
Ommen;Vechtdal;792;812;368;382;329;213
Opheusden;GT;166;161;48;43;29;26
Raalte;TZWEN;1020;1042;357;348;314;230
Ruurlo;GT;436;442;178;197;215;114
Terborg;GT;332;329;129;138;125;81
Tiel;GT;498;519;136;130;108;83
Varsseveld;GT;329;346;170;176;130;104
Voorst-Empe;GT;148;146;75;72;50;53
Vorden;GT;436;459;179;196;168;118
Vriezenveen;Vechtdal;298;294;77;67;45;37
Vroomshoop;Vechtdal;328;313;106;92;65;54
Wehl;GT;372;373;161;156;119;85
Westervoort;GT;594;574;329;268;210;203
Wierden;TZWEN;730;674;276;275;241;170
Winterswijk;GT;1020;1013;422;441;343;263
Winterswijk West;GT;156;165;62;78;63;42
Zetten-Andelst;GT;308;299;130;119;80;71
Zevenaar;GT;1628;1600;790;705;538;463
Zutphen;GT;2951;2889;1298;1190;825;1168
Zutphen;TZUHO;1303;1308;735;737;671;790
Zwolle;TZWEN;3384;3355;1444;1434;1419;1561
Zwolle;TZWKA;1922;1974;743;788;434;533
Zwolle;Vechtdal;3212;3195;1441;1394;896;1323
Zwolle Stadshagen;TZWKA;0;0;0;0;0;0
