STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Aalten,GT,427,421,163,173,144,100
Almelo,TZWEN,1275,1454,389,480,319,317
Almelo,Vechtdal,501,493,269,239,160,249
Almelo de Riet,TZWEN,276,251,111,100,76,71
Amersfoort Centraal,Valleilijn,425208,376120,50758,41390,39868,31439
Apeldoorn,GT,802,776,428,385,306,341
Apeldoorn De Maten,GT,155,150,66,66,51,45
Arnhem Centraal,GT,3052,2918,1710,1609,1126,1460
Arnhem Velperpoort,GT,886,1011,445,451,279,299
Barneveld Centrum,Valleilijn,203056,199798,16764,16886,11651,10320
Barneveld Noord,Valleilijn,67035,65643,5428,5866,4787,3592
Barneveld Zuid,Valleilijn,52302,50389,4152,4220,2947,2552
Borne,TZWEN,459,456,249,264,223,155
Coevorden,Vechtdal,479,482,214,240,175,137
Daarlerveen,Vechtdal,56,53,18,16,10,8
Dalen,Vechtdal,77,77,34,39,37,23
Dalfsen,Vechtdal,376,388,202,237,170,139
Delden,TZUHO,183,190,98,105,74,54
Didam,GT,540,525,258,263,192,153
Doetinchem,GT,1313,1354,512,546,383,320
Doetinchem De Huet,GT,422,420,179,188,149,118
Duiven,GT,733,715,399,380,271,237
Ede Centrum,Valleilijn,69261,69488,12216,12049,6389,6563
Ede-Wageningen,Valleilijn,190815,178645,24898,21936,16126,20305
Elst,GT,385,434,146,153,101,126
Emmen,Vechtdal,636,649,380,395,316,292
Emmen Zuid,Vechtdal,201,203,99,112,106,78
Enschede,TENGR,83,86,39,42,27,30
Enschede,TZWEN,2019,1978,927,806,584,766
Enschede De Eschmarke,TENGR,15,16,3,3,3,2
Enschede Kennispark,TZWEN,491,433,289,226,177,338
Gaanderen,GT,149,144,80,82,64,45
Glanerburg,TENGR,57,52,30,25,22,20
Goor,TZUHO,470,463,193,199,147,99
Gramsbergen,Vechtdal,78,74,43,48,37,26
Hardenberg,Vechtdal,810,822,317,342,249,203
Heino,TZWEN,168,171,99,104,83,66
Hemmen-Dodewaard,GT,42,41,14,12,10,10
Hengelo,TZUHO,1496,1512,703,667,437,615
Hengelo,TZWEN,1912,1908,782,872,712,518
Hengelo Gezondheidspark,TZUHO,125,125,48,51,34,32
Hengelo Oost,TZUHO,133,116,85,76,49,48
Hoevelaken,Valleilijn,70537,68124,6785,7567,5487,4734
Kampen,TZWKA,1124,1100,532,530,364,296
Kesteren,GT,197,199,57,60,37,38
Klarenbeek,GT,51,50,25,28,23,19
Lichtenvoorde-Groenlo,GT,349,363,154,193,201,117
Lochem,TZUHO,302,304,143,165,150,94
Lunteren,Valleilijn,54529,54169,7645,7850,5295,4687
Marienberg,Vechtdal,143,149,71,80,62,46
Nieuw Amsterdam,Vechtdal,177,179,81,92,81,54
Nijverdal,TZWEN,780,783,291,312,250,178
Oldenzaal,TZUHO,661,648,234,260,237,149
Ommen,Vechtdal,486,493,271,287,244,160
Opheusden,GT,109,106,39,35,23,21
Raalte,TZWEN,600,614,217,234,185,139
Ruurlo,GT,304,302,136,147,147,94
Terborg,GT,236,235,97,114,92,67
Tiel,GT,342,364,139,157,104,93
Varsseveld,GT,260,260,106,113,95,70
Voorst-Empe,GT,86,86,36,38,27,28
Vorden,GT,277,302,132,149,128,97
Vriezenveen,Vechtdal,161,157,47,47,34,27
Vroomshoop,Vechtdal,212,202,72,67,46,40
Wehl,GT,225,225,97,104,75,57
Westervoort,GT,343,323,171,162,118,112
Wierden,TZWEN,435,388,172,179,142,101
Winterswijk,GT,631,617,265,288,218,170
Winterswijk West,GT,123,133,45,55,50,37
Zetten-Andelst,GT,202,194,89,90,68,59
Zevenaar,GT,951,933,465,462,329,288
Zutphen,GT,1484,1474,718,669,490,682
Zutphen,TZUHO,762,776,515,497,464,500
Zwolle,TZWEN,2043,2021,1043,991,936,1036
Zwolle,TZWKA,1185,1184,588,600,347,427
Zwolle,Vechtdal,1856,1827,1018,890,658,905
Zwolle Stadshagen,TZWKA,287,311,150,140,104,93
