STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Aalten,GT,374,369,147,156,119,81
Almelo,NS,1876,1876,0,0,0,0
Almelo,TZWEN,1125,1274,353,427,267,276
Almelo,Vechtdal,403,400,221,204,120,196
Almelo de Riet,NS,52,52,0,0,0,0
Almelo de Riet,TZWEN,256,235,109,99,64,63
Almere Buiten,NS,2018,2018,0,0,0,0
Almere Centrum,NS,7060,7060,0,0,0,0
Almere Muziekwijk,NS,1602,1602,0,0,0,0
Almere Oostvaarders,NS,1293,1293,0,0,0,0
Almere Parkwijk,NS,965,965,0,0,0,0
Almere Poort,NS,1510,1510,0,0,0,0
Amersfoort Centraal,NS,9894,9894,0,0,0,0
Amersfoort Centraal,Valleilijn,338641,296826,35262,29374,29956,23956
Apeldoorn,GT,755,735,334,326,220,244
Apeldoorn,NS,3446,3446,0,0,0,0
Apeldoorn De Maten,GT,147,144,80,82,57,50
Apeldoorn Osseveld,NS,306,306,0,0,0,0
Arnhem Centraal,GT,2873,2724,1538,1462,907,1202
Arnhem Centraal,NS,10446,10446,0,0,0,0
Arnhem Presikhaaf,NS,546,546,0,0,0,0
Arnhem Velperpoort,GT,727,857,363,383,201,227
Arnhem Velperpoort,NS,577,577,0,0,0,0
Arnhem Zuid,NS,848,848,0,0,0,0
Assen,NS,2060,2060,0,0,0,0
Barneveld Centrum,Valleilijn,151761,149766,12964,12870,9541,8198
Barneveld Noord,Valleilijn,48824,47966,3344,3587,3254,2426
Barneveld Zuid,Valleilijn,41082,40069,3424,3350,2302,2015
Beilen,NS,508,508,0,0,0,0
Borne,NS,76,76,0,0,0,0
Borne,TZWEN,417,419,236,245,188,129
Brummen,NS,251,251,0,0,0,0
Coevorden,Vechtdal,438,437,186,195,133,101
Culemborg,NS,2432,2432,0,0,0,0
Daarlerveen,Vechtdal,44,42,12,14,9,7
Dalen,Vechtdal,63,63,29,32,25,15
Dalfsen,Vechtdal,343,348,189,203,133,106
Delden,TZUHO,169,171,95,96,66,46
Deventer,NS,4808,4808,0,0,0,0
Deventer Colmschate,NS,376,376,0,0,0,0
Didam,GT,512,504,222,221,146,118
Dieren,NS,968,968,0,0,0,0
Doetinchem,GT,1174,1213,465,503,306,243
Doetinchem De Huet,GT,371,371,166,169,125,97
Dronten,NS,909,909,0,0,0,0
Duiven,GT,722,700,396,366,240,211
Ede Centrum,Valleilijn,60205,59107,9585,9417,5515,5711
Ede-Wageningen,NS,4244,4244,0,0,0,0
Ede-Wageningen,Valleilijn,139941,134582,15946,14581,11783,15775
Elst,GT,330,378,109,120,69,91
Elst,NS,1054,1054,0,0,0,0
Emmen,Vechtdal,558,567,310,330,244,219
Emmen Zuid,Vechtdal,185,186,83,90,82,54
Enschede,NS,2149,2149,0,0,0,0
Enschede,TENGR,55,58,22,25,14,16
Enschede,TZWEN,1733,1701,874,786,509,684
Enschede De Eschmarke,TENGR,10,12,3,3,2,2
Enschede Kennispark,NS,77,77,0,0,0,0
Enschede Kennispark,TZWEN,408,361,288,254,106,240
Ermelo,NS,704,704,0,0,0,0
Gaanderen,GT,135,130,81,77,53,40
Geldermalsen,NS,1579,1579,0,0,0,0
Glanerburg,TENGR,49,43,21,19,14,12
Goor,TZUHO,423,423,171,179,136,84
Gramsbergen,Vechtdal,74,73,38,39,27,19
Hardenberg,Vechtdal,736,745,252,273,186,140
Harderwijk,NS,1530,1530,0,0,0,0
Heino,TZWEN,163,165,86,89,64,51
Hemmen-Dodewaard,GT,38,37,13,12,9,8
Hengelo,NS,1571,1571,0,0,0,0
Hengelo,TZUHO,1271,1311,639,626,381,529
Hengelo,TZWEN,1651,1634,741,794,624,448
Hengelo Gezondheidspark,TZUHO,158,124,56,45,41,31
Hengelo Oost,TZUHO,115,101,76,68,44,42
Hoevelaken,Valleilijn,56088,54520,4629,5044,3936,3238
Holten,NS,362,362,0,0,0,0
Hoogeveen,NS,1156,1156,0,0,0,0
Kampen,TZWKA,1053,1030,469,453,315,255
Kampen Zuid,NS,437,437,0,0,0,0
Kesteren,GT,166,173,48,53,31,28
Klarenbeek,GT,51,51,28,31,20,16
Lelystad Centrum,NS,3814,3814,0,0,0,0
Lichtenvoorde-Groenlo,GT,305,317,127,155,158,90
Lochem,TZUHO,259,262,125,143,126,77
Lunteren,Valleilijn,44252,43489,6071,6023,4195,3857
Marienberg,Vechtdal,132,133,62,74,48,34
Meppel,NS,1596,1596,0,0,0,0
Nieuw Amsterdam,Vechtdal,158,163,72,84,68,41
Nijkerk,NS,894,894,0,0,0,0
Nijmegen,NS,10513,10513,0,0,0,0
Nijmegen Dukenburg,NS,728,728,0,0,0,0
Nijmegen Goffert,NS,424,424,0,0,0,0
Nijmegen Lent,NS,328,328,0,0,0,0
Nijverdal,TZWEN,709,704,270,280,203,145
Nunspeet,NS,722,722,0,0,0,0
Oldenzaal,TZUHO,552,550,214,238,207,132
Olst,NS,366,366,0,0,0,0
Ommen,Vechtdal,433,436,228,237,185,122
Opheusden,GT,105,100,34,29,17,16
Putten,NS,474,474,0,0,0,0
Raalte,TZWEN,539,554,194,210,159,123
Rheden,NS,222,222,0,0,0,0
Rijssen,NS,600,600,0,0,0,0
Ruurlo,GT,267,270,118,132,120,74
Steenwijk,NS,891,891,0,0,0,0
Terborg,GT,202,201,92,103,79,54
Tiel,GT,304,314,108,115,82,66
Tiel,NS,842,842,0,0,0,0
Tiel Passewaaij,NS,334,334,0,0,0,0
Twello,NS,368,368,0,0,0,0
Varsseveld,GT,225,225,103,109,81,66
Velp,NS,364,364,0,0,0,0
Voorst-Empe,GT,75,74,36,38,26,26
Vorden,GT,250,270,116,127,103,74
Vriezenveen,Vechtdal,146,143,45,42,27,20
Vroomshoop,Vechtdal,186,176,67,62,40,37
Wehl,GT,194,196,95,97,66,51
Westervoort,GT,319,306,158,151,88,82
Wezep,NS,279,279,0,0,0,0
Wierden,NS,296,296,0,0,0,0
Wierden,TZWEN,371,336,164,160,113,77
Wijchen,NS,1051,1051,0,0,0,0
Wijhe,NS,316,316,0,0,0,0
Winterswijk,GT,550,547,231,243,167,128
Winterswijk West,GT,106,115,41,52,43,30
Wolfheze,NS,172,172,0,0,0,0
Zaltbommel,NS,940,940,0,0,0,0
Zetten-Andelst,GT,173,170,70,69,56,46
Zevenaar,GT,887,872,414,413,259,225
Zutphen,GT,1342,1320,677,615,413,576
Zutphen,NS,2952,2952,0,0,0,0
Zutphen,TZUHO,655,660,450,431,374,435
Zwolle,NS,9861,9861,0,0,0,0
Zwolle,TZWEN,1764,1753,852,823,756,817
Zwolle,TZWKA,1077,1099,481,504,275,345
Zwolle,Vechtdal,1633,1620,817,734,466,684
Zwolle Stadshagen,TZWKA,219,219,109,99,75,61
