STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Aalten,427,421,163,173,144,100
Almelo,3924,4095,658,719,479,566
Almelo de Riet,332,307,111,100,76,71
Almere Buiten,2092,2092,0,0,0,0
Almere Centrum,6679,6679,0,0,0,0
Almere Muziekwijk,1582,1582,0,0,0,0
Almere Oostvaarders,1248,1248,0,0,0,0
Almere Parkwijk,971,971,0,0,0,0
Almere Poort,1644,1644,0,0,0,0
Amersfoort Centraal,435188,386100,50758,41390,39868,31439
Apeldoorn,4308,4282,428,385,306,341
Apeldoorn De Maten,155,150,66,66,51,45
Apeldoorn Osseveld,342,342,0,0,0,0
Arnhem Centraal,14162,14028,1710,1609,1126,1460
Arnhem Presikhaaf,749,749,0,0,0,0
Arnhem Velperpoort,1630,1755,445,451,279,299
Arnhem Zuid,944,944,0,0,0,0
Assen,2216,2216,0,0,0,0
Barneveld Centrum,203056,199798,16764,16886,11651,10320
Barneveld Noord,67035,65643,5428,5866,4787,3592
Barneveld Zuid,52302,50389,4152,4220,2947,2552
Beilen,583,583,0,0,0,0
Borne,543,540,249,264,223,155
Brummen,276,276,0,0,0,0
Coevorden,479,482,214,240,175,137
Culemborg,2558,2558,0,0,0,0
Daarlerveen,56,53,18,16,10,8
Dalen,77,77,34,39,37,23
Dalfsen,376,388,202,237,170,139
Delden,183,190,98,105,74,54
Deventer,5414,5414,0,0,0,0
Deventer Colmschate,384,384,0,0,0,0
Didam,540,525,258,263,192,153
Dieren,1090,1090,0,0,0,0
Doetinchem,1313,1354,512,546,383,320
Doetinchem De Huet,422,420,179,188,149,118
Dronten,994,994,0,0,0,0
Duiven,733,715,399,380,271,237
Ede Centrum,69261,69488,12216,12049,6389,6563
Ede-Wageningen,195533,183363,24898,21936,16126,20305
Elst,1601,1650,146,153,101,126
Emmen,636,649,380,395,316,292
Emmen Zuid,201,203,99,112,106,78
Enschede,4602,4564,966,848,611,796
Enschede De Eschmarke,15,16,3,3,3,2
Enschede Kennispark,581,523,289,226,177,338
Ermelo,771,771,0,0,0,0
Gaanderen,149,144,80,82,64,45
Geldermalsen,1758,1758,0,0,0,0
Glanerburg,57,52,30,25,22,20
Goor,470,463,193,199,147,99
Gramsbergen,78,74,43,48,37,26
Hardenberg,810,822,317,342,249,203
Harderwijk,1720,1720,0,0,0,0
Heino,168,171,99,104,83,66
Hemmen-Dodewaard,42,41,14,12,10,10
Hengelo,5200,5212,1485,1539,1149,1133
Hengelo Gezondheidspark,125,125,48,51,34,32
Hengelo Oost,133,116,85,76,49,48
Hoevelaken,70537,68124,6785,7567,5487,4734
Holten,410,410,0,0,0,0
Hoogeveen,1264,1264,0,0,0,0
Kampen,1124,1100,532,530,364,296
Kampen Zuid,570,570,0,0,0,0
Kesteren,197,199,57,60,37,38
Klarenbeek,51,50,25,28,23,19
Lelystad Centrum,3895,3895,0,0,0,0
Lichtenvoorde-Groenlo,349,363,154,193,201,117
Lochem,302,304,143,165,150,94
Lunteren,54529,54169,7645,7850,5295,4687
Marienberg,143,149,71,80,62,46
Meppel,1805,1805,0,0,0,0
Nieuw Amsterdam,177,179,81,92,81,54
Nijkerk,978,978,0,0,0,0
Nijmegen,12186,12186,0,0,0,0
Nijmegen Dukenburg,786,786,0,0,0,0
Nijmegen Goffert,469,469,0,0,0,0
Nijmegen Lent,345,345,0,0,0,0
Nijverdal,780,783,291,312,250,178
Nunspeet,812,812,0,0,0,0
Oldenzaal,661,648,234,260,237,149
Olst,407,407,0,0,0,0
Ommen,486,493,271,287,244,160
Opheusden,109,106,39,35,23,21
Putten,532,532,0,0,0,0
Raalte,600,614,217,234,185,139
Rheden,250,250,0,0,0,0
Rijssen,692,692,0,0,0,0
Ruurlo,304,302,136,147,147,94
Steenwijk,1016,1016,0,0,0,0
Terborg,236,235,97,114,92,67
Tiel,1292,1314,139,157,104,93
Tiel Passewaaij,372,372,0,0,0,0
Twello,416,416,0,0,0,0
Varsseveld,260,260,106,113,95,70
Velp,424,424,0,0,0,0
Voorst-Empe,86,86,36,38,27,28
Vorden,277,302,132,149,128,97
Vriezenveen,161,157,47,47,34,27
Vroomshoop,212,202,72,67,46,40
Wehl,225,225,97,104,75,57
Westervoort,343,323,171,162,118,112
Wezep,291,291,0,0,0,0
Wierden,768,721,172,179,142,101
Wijchen,1183,1183,0,0,0,0
Wijhe,322,322,0,0,0,0
Winterswijk,631,617,265,288,218,170
Winterswijk West,123,133,45,55,50,37
Wolfheze,177,177,0,0,0,0
Zaltbommel,1052,1052,0,0,0,0
Zetten-Andelst,202,194,89,90,68,59
Zevenaar,951,933,465,462,329,288
Zutphen,5663,5667,1233,1166,954,1182
Zwolle,15835,15783,2649,2481,1941,2368
Zwolle Stadshagen,287,311,150,140,104,93
