STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
't Harde,NS,544,544,0,0,0,0
Aalten,GT,476,476,219,219,181,181
Almelo,NS,2898,2898,0,0,0,0
Almelo,TZWEN,1703,1927,564,657,447,430
Almelo,VD,498,498,228,228,140,140
Almelo de Riet,NS,72,72,0,0,0,0
Almelo de Riet,TZWEN,352,321,139,124,86,83
Almere Buiten,NS,2530,2530,0,0,0,0
Almere Centrum,NS,9274,9274,0,0,0,0
Almere Muziekwijk,NS,2081,2081,0,0,0,0
Almere Oostvaarders,NS,1578,1578,0,0,0,0
Almere Parkwijk,NS,1184,1184,0,0,0,0
Almere Poort,NS,2307,2307,0,0,0,0
Amersfoort Centraal,NS,15452,15452,0,0,0,0
Amersfoort Centraal,Valleilijn,2879,2531,1759,1453,1278,983
Apeldoorn,GT,483,483,664,664,478,478
Apeldoorn,NS,5265,5265,0,0,0,0
Apeldoorn,Onbekend,3,3,0,0,0,0
Apeldoorn De Maten,GT,200,200,97,97,72,72
Apeldoorn Osseveld,NS,444,444,0,0,0,0
Arnhem,BRENG,106,106,68,68,46,46
Arnhem,GT,4089,4089,2608,2608,1695,1695
Arnhem Centraal,NS,16278,16278,0,0,0,0
Arnhem Presikhaaf,NS,994,994,0,0,0,0
Arnhem Velperpoort,GT,1152,1152,599,599,385,385
Arnhem Velperpoort,NS,926,926,0,0,0,0
Arnhem Zuid,NS,1385,1385,0,0,0,0
Assen,NS,3158,3158,0,0,0,0
Barneveld Centrum,Valleilijn,1302,1277,613,570,356,319
Barneveld Noord,Valleilijn,429,409,207,184,134,98
Barneveld Zuid,Valleilijn,315,301,140,134,73,69
Beilen,NS,794,794,0,0,0,0
Borne,NS,112,112,0,0,0,0
Borne,TZWEN,630,616,355,348,277,202
Brummen,NS,350,350,0,0,0,0
Coevorden,VD,586,586,304,304,225,225
Culemborg,NS,3400,3400,0,0,0,0
Daarlerveen,VD,55,55,19,19,13,13
Dalen,VD,89,89,52,52,46,46
Dalfsen,VD,425,425,313,313,239,239
Delden,TZUHO,264,264,153,152,124,86
Deventer,NS,7562,7562,0,0,0,0
Deventer Colmschate,NS,476,476,0,0,0,0
Didam,GT,697,697,354,354,244,244
Dieren,NS,1452,1452,0,0,0,0
Doetinchem,GT,1663,1663,730,730,534,534
Doetinchem De Huet,GT,564,564,255,255,207,207
Dronten,NS,1310,1310,0,0,0,0
Duiven,GT,914,914,666,666,399,399
Ede Centrum,Valleilijn,451,434,401,419,183,177
Ede-Wageningen,NS,6403,6403,0,0,0,0
Ede-Wageningen,Valleilijn,1166,1049,721,593,455,528
Elst,GT,499,499,200,200,137,137
Elst,NS,1718,1718,0,0,0,0
Elten,BRENG,17,17,8,8,9,9
Emmen,VD,757,757,519,519,433,433
Emmen Zuid,VD,276,276,141,141,141,141
Emmerich,BRENG,16,16,19,19,11,11
Enschede,NS,3589,3589,0,0,0,0
Enschede,TENGR,115,115,69,69,39,46
Enschede,TZWEN,2680,2688,1408,1234,852,1049
Enschede De Eschmarke,TENGR,19,19,4,3,3,3
Enschede Kennispark,NS,128,128,0,0,0,0
Enschede Kennispark,TZWEN,685,637,459,407,266,467
Ermelo,NS,1012,1012,0,0,0,0
Gaanderen,GT,197,197,128,128,90,90
Geldermalsen,NS,2638,2638,0,0,0,0
Glanerburg,TENGR,59,57,33,30,26,21
Goor,TZUHO,637,628,272,265,196,137
Gramsbergen,VD,94,94,60,60,46,46
Gronau,TENGR,40,42,34,37,18,16
Hardenberg,VD,1086,1086,493,493,412,412
Harderwijk,NS,2282,2282,0,0,0,0
Heino,TZWEN,246,250,153,154,122,99
Hemmen-Dodewaard,GT,55,55,26,26,16,16
Hengelo,NS,2544,2544,0,0,0,0
Hengelo,TZUHO,2012,2045,1005,1003,640,859
Hengelo,TZWEN,2571,2507,1141,1304,992,746
Hengelo Gezondheidspark,TZUHO,146,151,57,59,43,41
Hengelo Oost,TZUHO,152,128,106,90,61,61
Hoevelaken,Valleilijn,496,474,245,236,158,144
Holten,NS,510,510,0,0,0,0
Hoogeveen,NS,1650,1650,0,0,0,0
Kampen,TZWKA,1508,1468,777,756,485,427
Kampen Zuid,NS,615,615,0,0,0,0
Kesteren,GT,266,266,97,97,58,58
Klarenbeek,GT,63,63,36,36,28,28
Lelystad Centrum,NS,4956,4956,0,0,0,0
Lichtenvoorde-Groenlo,GT,323,323,194,194,260,260
Lichtenvoorde-Groenlo,Onbekend,8,8,8,8,13,13
Lochem,TZUHO,445,448,212,227,195,133
Lunteren,Valleilijn,328,319,252,217,145,123
Mariënberg,VD,453,453,254,254,206,206
Meppel,NS,2473,2473,0,0,0,0
Nieuw Amsterdam,VD,223,223,123,123,119,119
Nijkerk,NS,1315,1315,0,0,0,0
Nijmegen,NS,17711,17711,0,0,0,0
Nijmegen Dukenburg,NS,1034,1034,0,0,0,0
Nijmegen Goffert,NS,719,719,0,0,0,0
Nijmegen Lent,NS,554,554,0,0,0,0
Nijverdal,TZWEN,1080,1083,420,416,316,250
Nunspeet,NS,1056,1056,0,0,0,0
Oldenzaal,TZUHO,853,829,323,339,311,204
Olst,NS,510,510,0,0,0,0
Ommen,VD,541,541,371,371,328,328
Oosterbeek,NS,198,198,0,0,0,0
Opheusden,GT,132,132,56,56,32,32
Putten,NS,730,730,0,0,0,0
Raalte,TZWEN,833,849,318,323,245,189
Rheden,NS,330,330,0,0,0,0
Rijssen,NS,912,912,0,0,0,0
Ruurlo,GT,267,267,180,180,201,201
Ruurlo,Onbekend,9,9,13,13,19,19
Steenwijk,NS,1343,1343,0,0,0,0
Terborg,GT,300,300,154,154,123,123
Tiel,GT,451,451,219,219,164,164
Tiel,NS,1230,1230,0,0,0,0
Tiel Passewaaij,NS,510,510,0,0,0,0
Twello,NS,510,510,0,0,0,0
Varsseveld,GT,330,330,159,159,124,124
Velp,NS,554,554,0,0,0,0
Voorst-Empe,GT,103,103,46,46,34,34
Vorden,GT,280,280,175,175,171,171
Vriezenveen,VD,161,161,66,66,35,35
Vroomshoop,VD,223,223,83,83,54,54
Wehl,GT,305,305,153,153,123,123
Westervoort,GT,469,469,280,280,183,183
Wezep,NS,420,420,0,0,0,0
Wierden,NS,474,474,0,0,0,0
Wierden,TZWEN,598,567,254,251,189,140
Wijchen,NS,1743,1743,0,0,0,0
Wijhe,NS,436,436,0,0,0,0
Winterswijk,GT,784,784,430,430,363,363
Winterswijk,Onbekend,29,29,42,42,48,48
Winterswijk West,GT,125,125,49,49,62,62
Winterswijk West,Onbekend,5,5,8,8,13,13
Wolfheze,NS,234,234,0,0,0,0
Zaltbommel,NS,1436,1436,0,0,0,0
Zetten-Andelst,GT,269,269,146,146,95,95
Zevenaar,BRENG,63,63,80,80,59,59
Zevenaar,GT,1082,1082,609,609,409,409
Zutphen,GT,1674,1674,998,998,757,757
Zutphen,NS,4542,4542,0,0,0,0
Zutphen,Onbekend,56,56,135,135,37,37
Zutphen,TZUHO,1079,1094,762,753,675,723
Zwolle,NS,15276,15276,0,0,0,0
Zwolle,TZWEN,2871,2806,1528,1520,1293,1428
Zwolle,TZWKA,1633,1681,849,893,515,591
Zwolle,VD,2409,2409,1539,1539,1030,1030
Zwolle Stadshagen,TZWKA,448,440,240,216,167,150
