STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Amersfoort Centraal,Valleilijn,3526,3143,1804,1398,1293,995
Barneveld Centrum,Valleilijn,1503,1438,665,559,370,312
Barneveld Noord,Valleilijn,452,435,138,124,99,73
Barneveld Zuid,Valleilijn,330,318,114,108,61,56
Delden,TZUHO,164,150,100,78,71,44
Ede Centrum,Valleilijn,525,488,420,403,207,189
Ede-Wageningen,Valleilijn,1362,1229,779,635,502,532
Goor,TZUHO,199,187,79,65,64,40
Hengelo,TZUHO,1101,1073,529,467,365,411
Hengelo Gezondheidspark,TZUHO,89,89,31,28,25,20
Hengelo Oost,TZUHO,91,74,63,41,42,30
Hoevelaken,Valleilijn,575,561,204,209,141,119
Lochem,TZUHO,251,238,121,108,119,75
Lunteren,Valleilijn,402,380,324,256,161,122
Oldenzaal,TZUHO,942,855,413,334,393,229
Zutphen,TZUHO,1278,1215,781,710,688,747
