STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Amersfoort Centraal,2960,2768,1364,1169,1034,908
Barneveld Centrum,1416,1347,595,508,337,281
Barneveld Noord,507,485,172,156,133,91
Barneveld Zuid,255,247,82,77,42,41
Delden,161,237,112,119,86,64
Ede Centrum,516,481,401,369,195,177
Ede-Wageningen,1386,1219,743,610,544,538
Goor,805,751,351,282,269,153
Hengelo,2210,2178,1213,1049,783,881
Hengelo Gezondheidspark,175,166,67,59,50,40
Hengelo Oost,189,149,148,98,101,75
Hoevelaken,533,520,176,184,130,105
Lochem,521,494,254,227,242,146
Lunteren,379,352,293,234,154,112
Oldenzaal,923,834,474,374,479,269
Zutphen,1340,1239,907,831,691,753
