STATION;HNR;;;;;
Almelo;51;;;;;
Almelo de Riet;520;;;;;
Borne;124;;;;;
Delden;169;;;;;
Delden;10011;;;;;
Delden;10012;;;;;
Enschede;212;;;;;
Enschede De Eschmarke;217;;;;;
Enschede Kennispark;221;;;;;
Glanerbrug;262;;;;;
Goor;254;;;;;
Goor;10021;;;;;
Goor;10022;;;;;
Goor;10023;;;;;
Goor;10024;;;;;
Heino;310;;;;;
Hengelo;316;;;;;
Hengelo;10032;;;;;
Hengelo;10033;;;;;
Hengelo Gezondheidspark;433;;;;;
Hengelo Gezondheidspark;10041;;;;;
Hengelo Gezondheidspark;10042;;;;;
Hengelo Oost;312;;;;;
Hengelo Oost;10051;;;;;
Hengelo Oost;10052;;;;;
Kampen;353;;;;;
Lochem;399;;;;;
Lochem;10061;;;;;
Lochem;10062;;;;;
Nijverdal;472;;;;;
Oldenzaal;483;;;;;
Oldenzaal;10071;;;;;
Raalte;513;;;;;
Wierden;691;;;;;
Zutphen;744;;;;;
Zutphen;10082;;;;;
Zwolle;747;;;;;
Zwolle Stadshagen;746;;;;;
Zutphen;41647776;;;;;
Hengelo;43210010;;;;;
Hengelo;43210012;;;;;
Hengelo Oost;43215001;;;;;
Hengelo Oost;43215002;;;;;
Delden;43360131;;;;;
Delden;43360142;;;;;
Goor;43560120;;;;;
Goor;43560122;;;;;
Goor;43560123;;;;;
Goor;43560124;;;;;
Lochem;44950412;;;;;
Lochem;44950422;;;;;
Hengelo Gezondheidspark;45121001;;;;;
Hengelo Gezondheidspark;45121002;;;;;
Oldenzaal;45240001;;;;;
Gronau;398;;;;;
Barneveld Zuid;115;;;;;
Ede-Wageningen;200;;;;;
Ede Centrum;201;;;;;
Lunteren;405;;;;;
Hoevelaken;490;;;;;
Amersfoort Centraal;55;;;;;
Barneveld Centrum;91;;;;;
Barneveld Noord;92;;;;;
