STATION;GT;NS;TENGR;TZUHO;TZWEN;TZWKA;Valleilijn;Vechtdal;TOTAAL
Aalten;743.0;;;;;;;;743.0
Almelo;;3752.0;;;2399.0;;;803.0;6954.0
Almelo de Riet;;104.0;;;491.0;;;;595.0
Almere Buiten;;4036.0;;;;;;;4036.0
Almere Centrum;;14120.0;;;;;;;14120.0
Almere Muziekwijk;;3204.0;;;;;;;3204.0
Almere Oostvaarders;;2586.0;;;;;;;2586.0
Almere Parkwijk;;1930.0;;;;;;;1930.0
Almere Poort;;3020.0;;;;;;;3020.0
Amersfoort Centraal;;19788.0;;;;;635467.0;;655255.0
Apeldoorn;1490.0;6892.0;;;;;;;8382.0
Apeldoorn De Maten;291.0;;;;;;;;291.0
Apeldoorn Osseveld;;612.0;;;;;;;612.0
Arnhem Centraal;5597.0;20892.0;;;;;;;26489.0
Arnhem Presikhaaf;;1092.0;;;;;;;1092.0
Arnhem Velperpoort;1584.0;1154.0;;;;;;;2738.0
Arnhem Zuid;;1696.0;;;;;;;1696.0
Assen;;4120.0;;;;;;;4120.0
Barneveld Centrum;;;;;;;301527.0;;301527.0
Barneveld Noord;;;;;;;96790.0;;96790.0
Barneveld Zuid;;;;;;;81151.0;;81151.0
Beilen;;1016.0;;;;;;;1016.0
Borne;;152.0;;;836.0;;;;988.0
Brummen;;502.0;;;;;;;502.0
Coevorden;;;;;;;;875.0;875.0
Culemborg;;4864.0;;;;;;;4864.0
Daarlerveen;;;;;;;;86.0;86.0
Dalen;;;;;;;;126.0;126.0
Dalfsen;;;;;;;;691.0;691.0
Delden;;;;340.0;;;;;340.0
Deventer;;9616.0;;;;;;;9616.0
Deventer Colmschate;;752.0;;;;;;;752.0
Didam;1016.0;;;;;;;;1016.0
Dieren;;1936.0;;;;;;;1936.0
Doetinchem;2387.0;;;;;;;;2387.0
Doetinchem De Huet;742.0;;;;;;;;742.0
Dronten;;1818.0;;;;;;;1818.0
Duiven;1422.0;;;;;;;;1422.0
Ede Centrum;;;;;;;119312.0;;119312.0
Ede-Wageningen;;8488.0;;;;;274523.0;;283011.0
Elst;708.0;2108.0;;;;;;;2816.0
Emmen;;;;;;;;1125.0;1125.0
Emmen Zuid;;;;;;;;371.0;371.0
Enschede;;4298.0;113.0;;3434.0;;;;7845.0
Enschede De Eschmarke;;;22.0;;;;;;22.0
Enschede Kennispark;;154.0;;;769.0;;;;923.0
Ermelo;;1408.0;;;;;;;1408.0
Gaanderen;265.0;;;;;;;;265.0
Geldermalsen;;3158.0;;;;;;;3158.0
Glanerburg;;;92.0;;;;;;92.0
Goor;;;;846.0;;;;;846.0
Gramsbergen;;;;;;;;147.0;147.0
