stopplacecode;quaycode;naam;plaats;straat;rd-x;rd-y;JAAR;Lijn;INSTAP_WERK;INSTAP_ZA;INSTAP_ZO;UITSTAP_WERK;UITSTAP_ZA;UITSTAP_ZO
NL:S:43000510;NL:Q:43000510;Lambertus Buddestraat;Enschede;Lambertus Buddestraat;256176;471675;2019;1;176.0;6.0;3.0;1196.0;60.0;42.0
NL:S:43000510;NL:Q:43000520;Lambertus Buddestraat;Enschede;Lambertus Buddestraat;256164;471625;2019;1;1112.0;73.0;39.0;175.0;4.0;2.0
NL:S:43005570;NL:Q:43005570;Ledeboerpark;Enschede;Hengelosestraat;256290;472416;2019;8;45.0;0.0;0.0;11.0;0.0;0.0
NL:S:43005570;NL:Q:43005570;Ledeboerpark;Enschede;Hengelosestraat;256290;472416;2019;9;994.0;81.0;39.0;520.0;58.0;64.0
NL:S:43005570;NL:Q:43005580;Ledeboerpark;Enschede;Hengelosestraat;256298;472392;2019;8;10.0;0.0;0.0;33.0;0.0;0.0
NL:S:43005570;NL:Q:43005580;Ledeboerpark;Enschede;Hengelosestraat;256298;472392;2019;9;707.0;53.0;6.0;1080.0;57.0;74.0
NL:S:43001340;NL:Q:43001340;Vanekerstraat;Enschede;Vanekerstraat;257624;473723;2019;2;582.0;98.0;43.0;429.0;88.0;42.0
NL:S:43008130;NL:Q:43008130;Dotterbloemstraat;Enschede;Dotterbloemstraat;259322;472395;2019;6;471.0;38.0;9.0;50.0;1.0;0.0
NL:S:43002050;NL:Q:43002050;Ribbeltsweg;Enschede;Ribbeltsweg;258920;471829;;;;;;;;
NL:S:43003220;NL:Q:43003220;Henriette Ronnerlaan;Enschede;Henriette Ronnerlaan;255071;470536;;;;;;;;
NL:S:43003220;NL:Q:43009003;Henriette Ronnerlaan;Enschede;Henriette Ronnerlaan;255172;470606;;;;;;;;
NL:S:39017002;NL:Q:39017002;P1 Jacobsrietweg;Boekelo;Jacobsrietweg;254236;467050;;;;;;;;
NL:S:43170050;NL:Q:43170050;Oude Losserseweg;Losser;Lossersestraat;261126;474776;2019;61;0.0;0.0;0.0;1.0;1.0;1.0
NL:S:43170050;NL:Q:43170060;Oude Losserseweg;Losser;Lossersestraat;260920;474688;2019;61;3.0;0.0;1.0;0.0;0.0;0.0
