;STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
0;DE:S:80000510;1.4;1.0;0.0;0.0;0.0;0.0;Markt;Elten;208219.5;431920.0
1;DE:S:80000530;0.5;0.8;0.0;0.0;0.0;0.0;Neustadt;Elten;208198.5;432082.5
2;DE:S:80000560;0.1;0.1;0.0;0.0;0.0;0.0;Hauberg;Elten;207520.0;432023.0
3;DE:S:80000570;0.1;0.1;0.0;0.0;0.0;0.0;Feldhausener Weg;Elten;207856.5;432854.5
4;NL:S:16000010;90.4;81.3;12.7;12.1;0.0;0.0;Station;Meppel;209759.8;522990.2
5;NL:S:16000260;0.5;0.9;0.0;0.1;0.0;0.0;Medisch Centrum;Meppel;211084.0;522879.0
6;NL:S:16000280;0.0;0.0;0.0;0.0;0.0;0.0;Gemeenteweg;Halfweg;214124.5;520222.5
7;NL:S:16000600;1.2000000000000002;1.6;0.0;0.0;0.0;0.0;Burg. Knopperslaan;Meppel;209754.0;523781.0
8;NL:S:16000710;0.1;0.6;0.0;0.0;0.0;0.0;Steenwijkerstraatweg;Meppel;208768.5;524285.0
9;NL:S:16000800;12.799999999999999;17.599999999999998;0.5;0.6;0.0;0.0;De Stouwe;Meppel;209428.0;522069.0
10;NL:S:16000880;2.5;3.2;0.1;0.2;0.0;0.0;Reestplantsoen;Meppel;209480.5;522297.5
11;NL:S:16000910;0.6;0.5;0.3;0.1;0.0;0.0;Leonard Springerlaan;Meppel;209670.5;522547.5
12;NL:S:16001010;3.5;3.6999999999999997;0.0;0.0;0.0;0.0;Hugo de Grootstraat;Meppel;209048.0;524125.0
13;NL:S:16002610;0.5;0.3;0.1;0.2;0.0;0.0;Prinsengracht;Meppel;209543.0;523515.3
14;NL:S:16100010;0.1;0.6;0.0;0.0;0.0;0.0;Perceel 3;Nijeveen;207512.0;527039.5
15;NL:S:16100050;0.0;0.0;0.0;0.0;0.0;0.0;Thijs van Urklaan;Kolderveen;206543.5;526309.0
16;NL:S:16110060;1.3;1.1;0.3;0.5;0.0;0.0;Heerenweg;IJhorst;216106.0;519641.0
17;NL:S:16110081;0.0;0.1;0.0;0.0;0.0;0.0;Havixhorst;De Schiphorst;213975.0;521273.0
18;NL:S:16110090;0.0;0.4;0.0;0.2;0.0;0.0;Wiltenweg;De Wijk;215514.0;521025.0
19;NL:S:16110220;0.1;0.7;0.1;0.0;0.0;0.0;Willem Koopsweg;De Wolden;216018.0;521087.0
20;NL:S:16110230;0.0;0.1;0.0;0.0;0.0;0.0;Oosterakker;De Wijk;216245.0;520678.0
21;NL:S:16110240;0.5;0.4;0.3;0.0;0.0;0.0;Verzorgingstehuis;De Wijk;215857.0;520661.0
22;NL:S:16110260;1.1;0.4;0.0;0.0;0.0;0.0;Sparrenlaan;IJhorst;216373.0;519399.0
23;NL:S:16180050;0.1;0.0;0.0;0.0;0.0;0.0;Redder;Staphorst;212153.0;518826.0
24;NL:S:16180070;0.0;0.0;0.0;0.0;0.0;0.0;Reggersweg;Staphorst;211489.0;518509.0
25;NL:S:16180100;2.9;2.9;0.3;0.4;0.0;0.0;Vlakkenweg;Staphorst;209584.5;517112.0
26;NL:S:16180120;1.3;2.0;0.0;0.0;0.0;0.0;Geerligsland;Staphorst;209842.0;517347.5
27;NL:S:16180140;3.5;4.6;0.4;0.5;0.0;0.0;Jan Arendsland;Staphorst;210043.5;517536.0
28;NL:S:16180160;1.4;1.4;0.3;0.2;0.0;0.0;Snelweg;Staphorst;210207.5;517474.0
29;NL:S:16180180;8.9;10.7;0.7;0.8;0.0;0.0;Achthoevenweg;Staphorst;210600.0;517113.5
