STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
DE:S:80000510;0.1;0.2;0.0;0.0;0.0;0.0;Markt;Elten;208219.5;431920.0
DE:S:80000530;0.0;0.1;0.0;0.0;0.0;0.0;Neustadt;Elten;208198.5;432082.5
DE:S:80000560;0.1;0.2;0.0;0.0;0.0;0.0;Hauberg;Elten;207520.0;432023.0
DE:S:80000570;0.0;0.0;0.0;0.0;0.0;0.0;Feldhausener Weg;Elten;207856.5;432854.5
NL:S:16000010;73.2;68.7;11.5;9.1;0.0;0.0;Station;Meppel;209759.8;522990.2
NL:S:16000260;0.5;0.8;0.1;0.1;0.0;0.0;Medisch Centrum;Meppel;211084.0;522879.0
NL:S:16000280;0.1;0.0;0.0;0.0;0.0;0.0;Gemeenteweg;Halfweg;214124.5;520222.5
NL:S:16000600;0.2;0.2;0.0;0.0;0.0;0.0;Burg. Knopperslaan;Meppel;209754.0;523781.0
NL:S:16000710;0.1;0.1;0.0;0.0;0.0;0.0;Steenwijkerstraatweg;Meppel;208768.5;524285.0
NL:S:16000800;7.2;8.5;0.5;0.6;0.0;0.0;De Stouwe;Meppel;209428.0;522069.0
NL:S:16000880;1.1;1.3;0.0;0.0;0.0;0.0;Reestplantsoen;Meppel;209480.5;522297.5
NL:S:16000910;0.5;0.6;0.3;0.1;0.0;0.0;Leonard Springerlaan;Meppel;209670.5;522547.5
NL:S:16001010;2.6;3.2;0.0;0.0;0.0;0.0;Hugo de Grootstraat;Meppel;209048.0;524125.0
NL:S:16002610;0.8;0.7;0.6;0.5;0.0;0.0;Prinsengracht;Meppel;209543.0;523515.3
NL:S:16110060;1.4;1.3;0.3;0.3;0.0;0.0;Heerenweg;IJhorst;216106.0;519641.0
NL:S:16110081;0.0;0.1;0.0;0.1;0.0;0.0;Havixhorst;De Schiphorst;213975.0;521273.0
NL:S:16110090;0.0;0.4;0.0;0.4;0.0;0.0;Wiltenweg;De Wijk;215514.0;521025.0
NL:S:16110220;0.4;0.6;0.2;0.6;0.0;0.0;Willem Koopsweg;De Wolden;216018.0;521087.0
NL:S:16110230;0.0;0.0;0.1;0.0;0.0;0.0;Oosterakker;De Wijk;216245.0;520678.0
