STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
Adl Julianastr;;;0,0;0,0;0,0;0,0;0,0;0,0
Bch Heidehof;;;0,0;0,0;0,0;0,0;0,2;0,1
Ddw Smalleweg;;;0,0;0,0;0,0;0,0;0,0;0,0
Grl Gezondheidsc;;;0,1;0,0;0,0;0,0;0,0;0,0
Hs Reeverweg;;;0,6;0,3;0,1;0,1;0,0;0,0
Kdl Europarcs;;;0,0;0,0;0,0;0,0;0,0;0,0
Kdl de Zandmeren;;;0,0;0,0;0,0;0,0;0,0;0,0
Lc Hessenweg;;;0,0;0,0;0,0;0,1;0,2;0,1
Mp Leonard;;;0,2;0,0;0,0;0,0;0,0;0,0
Mrk Ibisstraat;;;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:16000010;Station;Meppel;4,9;5,699999999999999;0,2;0,2;0,0;0,0
NL:S:16000260;Medisch Centrum;Meppel;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:16000280;Gemeenteweg;Halfweg;0,1;0,0;0,0;0,0;0,0;0,0
NL:S:16000600;Burg. Knopperslaan;Meppel;0,2;0,2;0,0;0,0;0,0;0,0
NL:S:16000710;Steenwijkerstraatweg;Meppel;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16000800;De Stouwe;Meppel;0,3;0,3;0,0;0,0;0,0;0,0
NL:S:16000880;Reestplantsoen;Meppel;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16000910;Leonard Springerlaan;Meppel;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16001010;Hugo de Grootstraat;Meppel;2,6;3,2;0,0;0,0;0,0;0,0
NL:S:16002610;Prinsengracht;Meppel;0,1;0,1;0,1;0,0;0,0;0,0
NL:S:16110060;Heerenweg;IJhorst;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16110081;Havixhorst;De Schiphorst;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:16110090;Wiltenweg;De Wijk;0,0;0,1;0,0;0,1;0,0;0,0
NL:S:16110220;Willem Koopsweg;De Wolden;0,1;0,1;0,0;0,1;0,0;0,0
NL:S:16110230;Oosterakker;De Wijk;0,0;0,0;0,1;0,0;0,0;0,0
NL:S:16110240;Verzorgingstehuis;De Wijk;0,1;0,0;0,0;0,0;0,0;0,0
NL:S:16110260;Sparrenlaan;IJhorst;0,2;0,0;0,0;0,0;0,0;0,0
NL:S:16180100;Vlakkenweg;Staphorst;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16180120;Geerligsland;Staphorst;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:16180140;Jan Arendsland;Staphorst;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16180160;Snelweg;Staphorst;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16180180;Achthoevenweg;Staphorst;0,3;0,3;0,0;0,0;0,0;0,0
NL:S:16180200;Hoogeweg;Staphorst;0,4;0,4;0,0;0,0;0,0;0,0
NL:S:16180220;Bergerslag;Staphorst;0,6;0,6;0,1;0,1;0,0;0,0
NL:S:16180240;Gemeentehuis;Staphorst;0,6;0,6;0,1;0,1;0,0;0,0
NL:S:16180260;Lindenlaan;Staphorst;0,2;0,2;0,0;0,0;0,0;0,0
NL:S:16180280;Bejaardenhuis;Staphorst;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16180300;Prinses Beatrixstraat;Staphorst;0,2;0,2;0,0;0,1;0,0;0,0
NL:S:16180320;Boldewijnhuizen;Staphorst;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:16280100;Oostermenneweg;Rouveen;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16280120;Zuideindigerweg;Rouveen;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16280140;Stadsweg;Rouveen;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:16280160;Oude Rijksweg 485;Rouveen;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:16280180;Hervormde Kerk;Rouveen;0,5;0,4;0,1;0,1;0,0;0,0
NL:S:16280200;Oude Rijksweg 415;Rouveen;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16280220;Oud Gereformeerde Kerk;Rouveen;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16280240;Conradsweg;Rouveen;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16280260;Schoolwijksweg;Rouveen;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16280280;Dekkersweg;Rouveen;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16300010;Gemeentehuis;Steenwijk;7,5;14,5;0,3;0,3;0,3;0,3
NL:S:16300030;Vendelweg;Steenwijk;10,3;10,5;2,7;2,5;1,9;1,1
NL:S:16300050;Matthijs Kiersstraat;Steenwijk;8,2;8,5;1,6;2,3;0,6;0,7
NL:S:16301010;Station;Steenwijk;106,2;114,3;68,8;54,5;41,9;42,8
NL:S:16380100;Haersterbroekweg;Zwolle;0,1;0,2;0,0;0,0;0,0;0,0
NL:S:16380120;Steenwetering;Lichtmis;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16380140;Meeleweg;Lichtmis;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16380190;Busstation;Lichtmis;0,5;0,5;0,1;0,1;0,0;0,0
NL:S:16580010;Noordeinde;Zwolle;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:16580030;Westeinde;Zwolle;0,2;0,2;0,0;0,0;0,0;0,0
NL:S:16580050;Markteweg;Zwolle;0,2;0,1;0,1;0,1;0,1;0,1
NL:S:16580070;Kleefstraat;Zwolle;1,2;0,5;0,1;0,1;0,0;0,1
NL:S:16680010;Dedemsweg;Ruitenveen;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16680030;Kuitermansweg;Ruitenveen;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16680050;Nieuwe Kreuleweg;Ruitenveen;0,0;0,0;0,1;0,1;0,0;0,0
NL:S:16680070;Hoevenweg;Ruitenveen;0,1;0,1;0,1;0,0;0,0;0,0
NL:S:16680090;Middenweg;Ruitenveen;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16680110;Nieuwendijk;Ruitenveen;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16780001;Schuilhut;Nieuwleusen;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:16780010;De Vlijt;Nieuwleusen;0,1;0,2;0,0;0,1;0,0;0,0
NL:S:16780030;Oosterhulst;Nieuwleusen;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16780050;Den Hulst;Nieuwleusen;0,9;0,9;0,2;0,2;0,1;0,1
NL:S:16780070;Bejaardencentrum;Nieuwleusen;0,5;0,5;0,2;0,2;0,1;0,1
NL:S:16780080;Baron van Dedemstraat;Nieuwleusen;0,2;0,0;0,1;0,0;0,0;0,0
NL:S:16780090;Gereformeerde Kerk;Nieuwleusen;0,6;0,5;0,2;0,2;0,1;0,1
NL:S:16780110;Zwembad;Nieuwleusen;0,5;0,5;0,2;0,2;0,1;0,1
NL:S:16780130;Centrum;Nieuwleusen;1,1;1,1;0,4;0,4;0,2;0,2
NL:S:16780150;Westeinde;Nieuwleusen;0,4;0,4;0,1;0,1;0,1;0,1
NL:S:16780170;Bouwhuisweg;Nieuwleusen;0,2;0,2;0,0;0,0;0,0;0,0
NL:S:16780190;Molen;Nieuwleusen;0,1;0,2;0,0;0,0;0,0;0,0
NL:S:16780300;Grote Markt;Nieuwleusen;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:16780560;Rollecater Brug;Nieuwleusen;0,7;0,6;0,0;0,0;0,0;0,0
NL:S:17000010;Station;Hoogeveen;2,8;2,3;0,6;0,5;0,3;0,4
NL:S:17000210;Buizerdlaan;Hoogeveen;0,7;0,7;0,2;0,1;0,1;0,1
NL:S:17000710;Mr. Cramerweg P+R;Hoogeveen;0,2;0,2;0,1;0,1;0,0;0,0
NL:S:17001650;Willemskade;Hoogeveen;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:17003020;Industrieweg;Hoogeveen;0,2;0,3;0,0;0,0;0,0;0,0
NL:S:17003040;Tamboerpassage;Hoogeveen;0,4;0,4;0,1;0,1;0,0;0,0
NL:S:17003120;Wolfsbosstraat;Hoogeveen;0,3;0,3;0,0;0,0;0,0;0,0
NL:S:17003140;Valkenlaan;Hoogeveen;0,1;0,2;0,0;0,0;0,0;0,0
NL:S:17003200;'t Haagje;Hoogeveen;0,4;0,4;0,1;0,1;0,0;0,0
NL:S:17190010;Buitenvaart;Hollandscheveld;0,1;0,2;0,0;0,0;0,0;0,0
NL:S:17190030;Opgaande 71;Hollandscheveld;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:17190050;'t Hoekje;Hollandscheveld;0,4;0,5;0,1;0,1;0,0;0,0
NL:S:17190150;Carstensdijk;Zuideropgaande;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:17190190;Schooldijkje;Zuideropgaande;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:17290010;Riegshoogtendijk;Kerkenveld;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:17290030;Gedempte Wijde Wijk;Kerkenveld;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:17290050;Ritmeesterweg;Kerkenveld;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:17290070;Riegshoogtendijk 3;Kerkenveld;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:17290090;Hoogeveenseweg 33;Kerkenveld;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:17290110;Braambergerweg;Kerkenveld;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:17290130;Hoogeveenseweg 11;Kerkenveld;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:17350030;Riegshoogtendijk;Hollandscheveld;0,3;0,3;0,1;0,0;0,0;0,0
NL:S:17350050;Jan Wintersdijkje;Zuideropgaande;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:17480030;Zwolseweg;Balkbrug;0,5;0,5;0,1;0,1;0,1;0,1
NL:S:17480050;d 'Olde Heerd;Balkbrug;0,3;0,3;0,1;0,1;0,1;0,1
NL:S:17480070;Zelhorstweg;Balkbrug;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:17480090;Nieuweweg (Sluis 4);Balkbrug;0,2;0,2;0,1;0,1;0,0;0,0
NL:S:18500010;Noordikslaan;Almelo;0,0;0,9;0,0;0,0;0,0;0,0
NL:S:19000320;Trageldijk;Coevorden;0,1;0,3;0,0;0,0;0,0;0,0
NL:S:19001410;Station;Coevorden;0,9;0,9;0,0;0,0;0,0;0,0
NL:S:19180200;Scheidijk;De Krim;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:19180220;Dommerskanaal;De Krim;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19180260;Nieuwlandseweg;De Krim;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19180280;N.H. Kerk;De Krim;0,2;0,2;0,0;0,0;0,0;0,0
NL:S:19180300;Horstra's Wijk;De Krim;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19180332;Horstra's Wijk/Marsstraat;De Krim;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19180350;Marsstraat;De Krim;0,2;0,1;0,0;0,0;0,0;0,0
NL:S:19180450;Slagenweg/Lutteresweg;Ane;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:19180500;Hoofdweg;De Krim;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19280010;Molenweg;De Krim;0,1;0,0;0,0;0,0;0,0;0,0
NL:S:19280030;Coevorderweg 171;De Krim;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19280050;Drukkerij Seinen;De Krim;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19280070;Coevorderweg 105;De Krim;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:19380010;Schuineslootweg;Slagharen;0,3;0,3;0,0;0,1;0,0;0,0
NL:S:19380030;Herenstraat 108;Slagharen;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:19380050;Witmanweg;Slagharen;0,0;0,2;0,0;0,0;0,0;0,0
NL:S:19380070;Vergouwlaan;Slagharen;0,7;0,5;0,1;0,1;0,1;0,0
NL:S:19380151;Centrum;Lutten;1,7;1,7;0,2;0,2;0,1;0,1
NL:S:19380191;Viaduct;Lutten;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19380280;Coevorderweg 89;Slagharen;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:19380301;Centrum;Slagharen;0,5;0,5;0,1;0,1;0,1;0,0
NL:S:19380320;Attractiepark;Slagharen;0,4;0,4;0,2;0,3;0,2;0,1
NL:S:19380340;Dedemsvaartseweg 84;Lutten;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:19380360;Coevorderweg;Lutten;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:19380380;Tottenhamstraat/Proatkoele;Lutten;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19380400;Ongelukkige Wijk;Lutten;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19480010;Rheezerend 162;Dedemsvaart;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:19480030;Rheezerend;Dedemsvaart;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:19480050;Rheezerend 60;Dedemsvaart;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:19480070;Industrieweg;Dedemsvaart;0,1;0,2;0,0;0,0;0,0;0,0
NL:S:19480090;Celsiusstraat;Dedemsvaart;0,2;0,1;0,0;0,0;0,0;0,0
NL:S:19480110;Van Haeringenstraat;Dedemsvaart;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19480130;De Magnolia;Dedemsvaart;0,4;0,4;0,1;0,1;0,1;0,1
NL:S:19480150;Hazelaar;Dedemsvaart;0,4;0,3;0,1;0,1;0,0;0,0
NL:S:19480170;Krikkenstraat;Dedemsvaart;0,2;0,2;0,0;0,0;0,0;0,0
NL:S:19480190;Haitjema;Dedemsvaart;0,4;0,4;0,1;0,1;0,1;0,1
NL:S:19480230;Adelaarweg;Dedemsvaart;0,5;0,5;0,1;0,1;0,1;0,1
NL:S:19480250;Sportlaan;Dedemsvaart;0,3;0,3;0,0;0,1;0,0;0,0
NL:S:19480280;Busstation;Dedemsvaart;0,9;0,9;0,2;0,2;0,2;0,1
NL:S:19480300;Hoofdvaart 115;Dedemsvaart;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19480320;Hoofdvaart 207;Dedemsvaart;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19480340;Het Rak;Dedemsvaart;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19480360;De Pol;Dedemsvaart;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19481990;Zwiersstraat;Dedemsvaart;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19580000;Station;Gramsbergen;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:19580040;Aner Molen;Ane;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:19580060;De Viersprong;Ane;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:19580080;Slagenweg/Haarweg;Ane;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:19580100;Slagenweg/Schansweg;Ane;0,1;0,0;0,0;0,0;0,0;0,0
NL:S:24350010;Spin;De Blesse;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:24350030;Bovenweg;De Blesse;1,5;0,6;0,0;0,0;0,0;0,0
NL:S:24350050;Friese Veldweg;De Blesse;0,5;0,9;0,0;0,0;0,0;0,0
NL:S:24350070;Lagebroekweg;Blesdijke;0,8;0,8;0,0;0,0;0,0;0,0
NL:S:24350600;Noord;De Blesse;9,7;11,700000000000001;0,0;0,0;0,0;0,0
NL:S:24450030;Marijenkampen;Marijenkampen;0,5;0,4;0,0;0,0;0,0;0,0
NL:S:24450050;Eikenlaan;Willemsoord;0,2;0,2;0,0;0,0;0,0;0,0
NL:S:24451400;'t Centrum;Steenwijkerwold;8,1;7,0;0,0;0,0;0,0;0,0
NL:S:24451800;Willemsoord;Willemsoord;3,4000000000000004;3,5;0,0;0,0;0,0;0,0
NL:S:24510020;Frieseweg;Oldemarkt;10,3;10,3;0,0;0,0;0,0;0,0
NL:S:24510040;Koningin Julianaweg;Oldemarkt;6,6;5,3;0,0;0,0;0,0;0,0
NL:S:24510060;Parochiehuis;Oldemarkt;6,0;5,1000000000000005;0,0;0,0;0,0;0,0
NL:S:24510070;Kruisstraat;Oldemarkt;3,0;3,2;0,0;0,0;0,0;0,0
NL:S:24510090;De Boterberg;Oldemarkt;1,0;0,8;0,0;0,0;0,0;0,0
NL:S:24550030;Zuidveen;Zuidveen;3,2;3,5;0,5;0,6;0,6;0,2
NL:S:24550050;Groot Verlaat;Steenwijk;3,3;4,0;0,2;0,6;0,1;0,1
NL:S:24550160;Dolderbrug;Steenwijk;1,1;1,6;0,0;0,0;0,0;0,0
NL:S:24552310;Gemeentewerken;Tuk;0,8;1,0;0,0;0,0;0,0;0,0
NL:S:24552330;Oldemarktseweg;Tuk;0,6;0,6;0,0;0,0;0,0;0,0
NL:S:24552350;Watertoren;Thij;0,3;0,4;0,0;0,0;0,0;0,0
NL:S:24552370;Thij;Thij;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:24590100;Burchtstraat;Kuinre;14,100000000000001;7,1;0,0;0,0;0,0;0,0
NL:S:24610010;Venebosweg;Ossenzijl;1,2000000000000002;1,5999999999999999;0,0;0,0;0,0;0,0
NL:S:24610030;Kloosterdijk;Ossenzijl;0,2;0,2;0,0;0,0;0,0;0,0
NL:S:24620010;Busstation;Lemmer;22,3;21,4;0,0;0,0;0,0;0,0
NL:S:24620110;Lemsterweg;Rutten;0,5;0,5;0,0;0,0;0,0;0,0
NL:S:24620130;Houtmolen;Lemmer;4,3;4,7;0,0;0,0;0,0;0,0
NL:S:24680010;Uiterdijkenweg;Luttelgeest;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:24720010;Lemsterpoort;Rutten;16,3;15,2;0,0;0,0;0,0;0,0
NL:S:24720090;Noordermeerweg;Rutten;0,6;0,7;0,0;0,0;0,0;0,0
NL:S:24820030;Wrakkenpad;Creil;1,6;1,1;0,0;0,0;0,0;0,0
NL:S:24820050;IJzerpad;Rutten;0,6;0,6;0,0;0,0;0,0;0,0
NL:S:24820090;Creil;Creil;22,1;19,6;0,0;0,0;0,0;0,0
NL:S:24920030;Weg van Ongenade;Espel;0,2;0,2;0,0;0,0;0,0;0,0
NL:S:24920050;Onderduikerspad;Espel;0,4;0,4;0,0;0,0;0,0;0,0
NL:S:24920070;Noordermiddenweg;Espel;0,9;1,3;0,0;0,0;0,0;0,0
NL:S:24920080;Espelerweg;Emmeloord;0,2;0,4;0,0;0,0;0,0;0,0
NL:S:24920110;Espel;Espel;10,9;9,4;0,0;0,0;0,0;0,0
NL:S:24920130;Klutenpad;Creil;0,5;0,6;0,0;0,0;0,0;0,0
NL:S:25000010;Kettingstraat;Emmeloord;19,2;32,099999999999994;5,1;7,800000000000001;1,5;2,3
NL:S:25000030;Lange Dreef;Emmeloord;6,2;7,5;2,4;3,7;0,8;1,2000000000000002
NL:S:25000050;Bunschotenlaan;Emmeloord;14,9;18,4;4,8;6,9;6,6;3,2
NL:S:25000070;Emmeloord - Oost;Emmeloord;4,7;6,199999999999999;0,5;0,5;0,1;0,0
NL:S:25000100;Diemenlaan;Emmeloord;20,6;21,9;4,0;4,5;4,8;2,8
NL:S:25000130;Ecopark;Emmeloord;3,1;5,0;0,1;0,1;0,0;0,0
NL:S:25000160;Ondernemersweg;Emmeloord;2,2;3,2;0,0;0,0;0,0;0,0
NL:S:25000180;Produktieweg;Emmeloord;1,5;2,4;0,0;0,0;0,0;0,0
NL:S:25000210;Zuyderzee College;Emmeloord;18,8;23,7;7,2;7,9;3,3;4,2
NL:S:25000410;Begraafplaats;Emmeloord;14,7;21,6;0,0;0,0;0,0;0,0
NL:S:25000430;Dr. W.M. Verhaarlaan;Emmeloord;0,5;0,6;0,0;0,0;0,0;0,0
NL:S:25000450;Schaftweg/Espelerweg;Emmeloord;0,7;1,3;0,0;0,0;0,0;0,0
NL:S:25000470;Nieuwlandenlaan;Emmeloord;0,9;1,4;0,0;0,0;0,0;0,0
NL:S:25000500;Medisch Centrum;Emmeloord;58,2;63,1;12,3;12,0;4,8;5,8
NL:S:25000600;Antonius Ziekenhuis;Emmeloord;77,5;70,2;22,8;23,1;12,100000000000001;11,9
NL:S:25000700;Urkerweg 18;Emmeloord;1,0;0,7999999999999999;0,5;0,4;0,0;0,0
NL:S:25001400;Smeden;Emmeloord;5,9;16,799999999999997;2,3;7,6;2,2;3,2
NL:S:25005010;Busstation;Emmeloord;912,4000000000001;939,7;220,6;247,5;175,7;135,0
NL:S:25060010;Brink;Luttelgeest;9,9;8,9;0,0;0,0;0,0;0,0
NL:S:25060030;Luttelgeesterweg;Luttelgeest;0,1;0,3;0,0;0,0;0,0;0,0
NL:S:25060050;Lindeweg;Luttelgeest;0,4;0,7;0,0;0,0;0,0;0,0
NL:S:25060070;Orchideeenhoeve;Luttelgeest;2,1;2,2;0,0;0,0;0,0;0,0
NL:S:25060090;Oosterringweg;Luttelgeest;28,200000000000003;21,6;0,0;0,0;0,0;0,0
NL:S:25060110;Schansweg;Luttelgeest;0,0;0,2;0,0;0,0;0,0;0,0
NL:S:25070010;Luttelgeesterweg;Marknesse;1,6;1,5;0,2;0,6000000000000001;0,30000000000000004;0,30000000000000004
NL:S:25070030;H.D. Louwes Hoeve;Emmeloord;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:25070050;Lindeweg;Emmeloord;0,5;0,6000000000000001;0,5;0,8;0,9;0,4
