STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
AH concessiegrns;;;0,0;0,0;0,0;0,0;0,0;0,0
DE:S:80000510;Markt;Elten;0,0;0,2;0,0;0,0;0,0;0,0
DE:S:80000530;Neustadt;Elten;0,0;0,0;0,0;0,0;0,0;0,0
DE:S:80000560;Hauberg;Elten;0,4;0,5;0,0;0,0;0,0;0,0
DE:S:80000570;Feldhausener Weg;Elten;0,0;0,1;0,0;0,0;0,0;0,0
Lw Busstation;;;inf;0,0;0,0;0,0;0,0;0,0
Mp Leonard;;;0,0;0,0;0,0;0,0;inf;0,0
NL:Q:61700310;;;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:16000010;Station;Meppel;87,4;83,0;15,9;12,2;0,0;0,0
NL:S:16000040;Ziekenhuis;Meppel;1,5;0,8;0,1;0,1;0,0;0,0
NL:S:16000260;Medisch Centrum;Meppel;0,3;0,4;0,0;0,0;0,0;0,0
NL:S:16000280;Gemeenteweg;Halfweg;0,2;0,1;0,0;0,0;0,0;0,0
NL:S:16000600;Burg. Knopperslaan;Meppel;0,2;0,1;0,0;0,0;0,0;0,0
NL:S:16000710;Steenwijkerstraatweg;Meppel;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16000800;De Stouwe;Meppel;7,8;9,0;0,3;0,5;0,0;0,0
NL:S:16000880;Reestplantsoen;Meppel;1,2;1,0;0,1;0,2;0,0;0,0
NL:S:16000910;Leonard Springerlaan;Meppel;0,4;0,5;0,5;0,1;0,0;0,0
NL:S:16001010;Hugo de Grootstraat;Meppel;3,1;3,6;0,0;0,0;0,0;0,0
NL:S:16002610;Prinsengracht;Meppel;1,5;1,2;0,4;0,3;0,0;0,0
NL:S:16110060;Heerenweg;IJhorst;2,9;2,3;0,3;0,5;0,0;0,0
NL:S:16110081;Havixhorst;De Schiphorst;0,0;0,1;0,0;0,1;0,0;0,0
NL:S:16110090;Wiltenweg;De Wijk;0,0;0,6;0,0;0,0;0,0;0,0
NL:S:16110220;Willem Koopsweg;De Wolden;0,8;1,2;0,2;0,3;0,0;0,0
NL:S:16110230;Oosterakker;De Wijk;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:16110240;Verzorgingstehuis;De Wijk;1,4;0,6;0,7;0,2;0,0;0,0
NL:S:16110260;Sparrenlaan;IJhorst;0,8;0,6;0,1;0,1;0,0;0,0
NL:S:16180100;Vlakkenweg;Staphorst;1,1;1,8;0,1;0,2;0,0;0,0
NL:S:16180120;Geerligsland;Staphorst;1,6;2,1;0,1;0,1;0,0;0,0
NL:S:16180140;Jan Arendsland;Staphorst;2,1;2,6;0,3;0,3;0,0;0,0
NL:S:16180160;Snelweg;Staphorst;1,1;1,1;0,3;0,2;0,0;0,0
NL:S:16180180;Achthoevenweg;Staphorst;9,7;10,8;0,8;0,9;0,0;0,0
NL:S:16180200;Hoogeweg;Staphorst;16,1;12,8;1,8;1,8;0,0;0,0
NL:S:16180220;Bergerslag;Staphorst;19,2;17,0;2,8;2,3;0,0;0,0
NL:S:16180240;Gemeentehuis;Staphorst;19,0;18,9;2,5;2,1;0,0;0,0
NL:S:16180260;Lindenlaan;Staphorst;7,4;9,7;1,2;1,6;0,0;0,0
NL:S:16180280;Bejaardenhuis;Staphorst;3,8;2,9;0,8;0,8;0,0;0,0
NL:S:16180300;Prinses Beatrixstraat;Staphorst;5,6;5,2;1,6;1,2;0,0;0,0
NL:S:16180320;Boldewijnhuizen;Staphorst;0,2;0,1;0,0;0,0;0,0;0,0
NL:S:16280100;Oostermenneweg;Rouveen;2,6;2,0;0,2;0,2;0,0;0,0
NL:S:16280120;Zuideindigerweg;Rouveen;3,2;2,7;0,2;0,2;0,0;0,0
NL:S:16280140;Stadsweg;Rouveen;0,2;0,4;0,1;0,0;0,0;0,0
NL:S:16280160;Oude Rijksweg 485;Rouveen;1,3;1,1;0,1;0,2;0,0;0,0
NL:S:16280180;Hervormde Kerk;Rouveen;22,1;20,0;3,2;2,6;0,0;0,0
NL:S:16280200;Oude Rijksweg 415;Rouveen;2,4;2,3;0,2;0,4;0,0;0,0
NL:S:16280220;Oud Gereformeerde Kerk;Rouveen;2,0;1,9;0,3;0,2;0,0;0,0
NL:S:16280240;Conradsweg;Rouveen;1,6;1,6;0,0;0,1;0,0;0,0
NL:S:16280260;Schoolwijksweg;Rouveen;1,9;2,3;0,1;0,1;0,0;0,0
NL:S:16280280;Dekkersweg;Rouveen;3,3;2,8;0,2;0,2;0,0;0,0
NL:S:16300010;Gemeentehuis;Steenwijk;9,700000000000001;19,0;0,4;0,4;0,4;0,5
NL:S:16300030;Vendelweg;Steenwijk;12,5;11,399999999999999;3,5;3,4;2,9;1,6
NL:S:16300050;Matthijs Kiersstraat;Steenwijk;9,7;10,299999999999999;3,0;3,7;2,0;1,4
NL:S:16301010;Station;Steenwijk;137,1;146,70000000000002;117,2;102,4;89,5;73,9
NL:S:16380100;Haersterbroekweg;Zwolle;1,1;2,3;0,2;0,2;0,0;0,0
