QUAYCODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
DE:Q:80000510;Markt;Elten;0,0;0,2;0,0;0,0;0,0;0,0
DE:Q:80000530;Neustadt;Elten;0,0;0,0;0,0;0,0;0,0;0,0
DE:Q:80000540;Neustadt;Elten;0,0;0,0;0,0;0,0;0,0;0,0
DE:Q:80000560;Hauberg;Elten;0,0;0,0;0,0;0,0;0,0;0,0
DE:Q:80000580;Feldhausener Weg;Elten;0,0;0,1;0,0;0,0;0,0;0,0
DE:Q:80000590;Hauberg;Elten;0,4;0,4;0,0;0,0;0,0;0,0
NL:Q:16000030;Station;Meppel;9,0;5,5;1,2;0,9;0,0;0,0
NL:Q:16000040;Ziekenhuis;Meppel;1,5;0,8;0,1;0,1;0,0;0,0
NL:Q:16000250;Station;Meppel;0,0;5,1;0,0;0,0;0,0;0,0
NL:Q:16000260;Medisch Centrum;Meppel;0,3;0,4;0,0;0,0;0,0;0,0
NL:Q:16000280;Gemeenteweg;Halfweg;0,0;0,0;0,0;0,0;0,0;0,0
NL:Q:16000290;Gemeenteweg;Halfweg;0,1;0,1;0,0;0,0;0,0;0,0
NL:Q:16000600;Burg. Knopperslaan;Meppel;0,0;0,1;0,0;0,0;0,0;0,0
NL:Q:16000610;Burg. Knopperslaan;Meppel;0,2;0,0;0,0;0,0;0,0;0,0
NL:Q:16000710;Steenwijkerstraatweg;Meppel;0,1;0,0;0,0;0,0;0,0;0,0
NL:Q:16000720;Steenwijkerstraatweg;Meppel;0,0;0,1;0,0;0,0;0,0;0,0
NL:Q:16000770;Reestplantsoen;Meppel;0,3;0,4;0,1;0,1;0,0;0,0
NL:Q:16000780;Reestplantsoen;Meppel;1,0;0,6;0,0;0,1;0,0;0,0
NL:Q:16000800;De Stouwe;Meppel;5,0;3,1;0,0;0,2;0,0;0,0
NL:Q:16000810;De Stouwe;Meppel;2,8;5,8;0,3;0,3;0,0;0,0
NL:Q:16000870;Station;Meppel;78,4;72,4;14,8;11,3;0,0;0,0
NL:Q:16000910;Leonard Springerlaan;Meppel;0,4;0,1;0,5;0,0;0,0;0,0
NL:Q:16000920;Leonard Springerlaan;Meppel;0,0;0,5;0,1;0,1;0,0;0,0
NL:Q:16000931;Prinsengracht;Meppel;1,5;1,2;0,4;0,3;0,0;0,0
NL:Q:16001010;Hugo de Grootstraat;Meppel;3,0;0,0;0,0;0,0;0,0;0,0
NL:Q:16001020;Hugo de Grootstraat;Meppel;0,1;3,6;0,0;0,0;0,0;0,0
