CONCESSIE;QUAYCODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
20;NL:Q:1000044;;;0,0;0,0;0,0;0,0;0,0;0,0
20;NL:Q:40000090;Station Velperpoort;Arnhem;51,3;34,4;46,3;45,6;14,1;18,6
20;NL:Q:40000110;Hoflaan;Arnhem;27,4;26,6;21,5;21,5;6,5;9,2
20;NL:Q:40000130;Raapopseweg;Arnhem;31,1;33,6;14,0;12,0;4,0;4,4
20;NL:Q:40000150;Huyghenslaan;Arnhem;4,7;5,7;4,5;5,9;3,0;3,0
20;NL:Q:40000190;Vondellaan;Arnhem;2,4;5,9;0,0;0,0;0,0;0,0
20;NL:Q:40000200;Vondellaan;Arnhem;3,2;2,1;0,0;0,0;0,0;0,0
20;NL:Q:40004007;Centraal Station;Arnhem;103,3;34,1;135,2;47,5;59,2;16,9
20;NL:Q:40004017;Willemsplein;Arnhem;30,9;1,3;51,5;1,5;16,7;0,2
20;NL:Q:40004020;Willemsplein;Arnhem;0,8;27,5;0,9;52,5;0,2;12,7
20;NL:Q:40004022;Velperplein;Arnhem;36,4;3,4;60,0;4,1;23,0;3,1
20;NL:Q:40004023;Velperplein;Arnhem;6,9;37,0;5,8;59,9;1,7;18,2
20;NL:Q:40004416;Centraal Station;Arnhem;0,1;52,8;0,0;56,8;0,2;21,8
20;NL:Q:40004700;Lange Wal;Arnhem;8,6;1,5;16,3;6,5;3,9;0,5
20;NL:Q:40004730;Keulse Slag;Arnhem;5,9;15,7;10,3;45,0;3,0;18,4
20;NL:Q:40004740;Keulse Slag;Arnhem;20,8;6,1;42,6;8,1;12,7;2,2
20;NL:Q:40005330;Station Presikhaaf;Arnhem;2,3;11,3;4,2;15,5;1,1;6,0
20;NL:Q:40005340;Station Presikhaaf;Arnhem;8,5;2,1;14,4;3,3;6,4;1,1
20;NL:Q:40005350;Dongestraat;Arnhem;0,8;2,5;1,1;7,1;0,3;1,8
20;NL:Q:40005360;Dongestraat;Arnhem;2,4;1,6;4,5;1,2;1,6;0,2
20;NL:Q:40006790;Lange Wal;Arnhem;3,9;9,9;5,6;26,2;0,7;9,9
20;NL:Q:40008840;Brekelenkampstraat;Arnhem;2,1;3,2;4,5;1,9;1,5;0,6
20;NL:Q:40120010;Aansluiting A12;Duiven;5,6;2,0;25,0;5,7;10,0;1,6
20;NL:Q:40120030;Hotel De Roskam;Rheden;0,7;0,2;0,0;0,0;0,0;0,0
20;NL:Q:40120050;Beekhuizenseweg;Velp;1,9;1,0;0,0;0,0;0,0;0,0
20;NL:Q:40120060;Beekhuizenseweg;Velp;1,9;2,1;0,0;0,0;0,0;0,0
20;NL:Q:40120250;Nordlaan;Velp;1,3;21,7;0,0;0,0;0,0;0,0
20;NL:Q:40120260;Nordlaan;Velp;6,5;0,8;0,0;0,0;0,0;0,0
20;NL:Q:40120290;Emmastraat;Velp;2,4;6,5;0,0;0,0;0,0;0,0
20;NL:Q:40120300;Emmastraat;Velp;3,7;3,0;0,0;0,0;0,0;0,0
20;NL:Q:40123950;Velperbroek;Velp;2,4;2,6;3,0;8,9;0,9;2,4
20;NL:Q:40123960;Velperbroek;Velp;3,2;6,5;10,1;3,4;2,3;1,5
20;NL:Q:40123990;Waterstraat;Velp;2,3;6,7;2,2;13,7;0,9;4,8
20;NL:Q:40124000;Waterstraat;Velp;4,1;0,7;11,4;1,1;3,1;0,4
20;NL:Q:40124030;Haverland;Velp;0,4;5,1;0,9;11,0;0,4;5,1
20;NL:Q:40124040;Haverland;Velp;3,0;0,5;9,1;0,8;2,2;0,2
20;NL:Q:40124050;Graaf Ottostraat;Velp;0,7;5,5;2,0;10,2;0,7;4,6
20;NL:Q:40124060;Graaf Ottostraat;Velp;3,5;0,6;9,6;2,6;3,4;0,8
20;NL:Q:40124070;Graaf Gerhardstraat;Velp;1,3;5,1;0,9;5,7;0,3;2,6
20;NL:Q:40124080;Graaf Gerhardstraat;Velp;3,5;1,2;4,6;0,9;1,6;0,2
20;NL:Q:40124090;Brekelenkampstraat;Arnhem;1,7;3,2;2,2;7,4;0,4;2,8
20;NL:Q:40551089;J. Fruytierschool;Apeldoorn;7,7;6,9;0,0;0,0;0,0;0,0
20;NL:Q:41220220;Hotel De Roskam;Rheden;0,2;0,9;0,0;0,0;0,0;0,0
20;NL:Q:41220550;Dorpskerk;Rheden;2,0;1,1;0,0;0,0;0,0;0,0
20;NL:Q:41220560;Dorpskerk;Rheden;0,5;2,6;0,0;0,0;0,0;0,0
20;NL:Q:41220570;Oranjeweg;Rheden;3,7;0,7;0,0;0,0;0,0;0,0
20;NL:Q:41220580;Oranjeweg;Rheden;0,9;3,5;0,0;0,0;0,0;0,0
20;NL:Q:41220590;v. Heerdtplein;Rheden;3,9;0,3;0,0;0,0;0,0;0,0
20;NL:Q:41220600;v. Heerdtplein;Rheden;0,3;3,4;0,0;0,0;0,0;0,0
20;NL:Q:41220650;Overweg;Rheden;1,3;2,0;0,0;0,0;0,0;0,0
20;NL:Q:41230010;Groenestraat;Giesbeek;3,4;0,7;5,2;1,3;1,9;0,1
20;NL:Q:41230030;Kerkstraat;Lathum;2,4;1,2;5,3;1,0;1,5;0,2
20;NL:Q:41230040;Kerkstraat;Lathum;1,1;3,1;0,6;6,4;0,4;1,8
20;NL:Q:41230050;Rijderbosweg;Lathum;0,1;0,2;0,4;0,2;0,2;0,0
20;NL:Q:41230060;Rijderbosweg;Lathum;0,1;0,1;0,1;0,2;0,0;0,0
20;NL:Q:41230080;Aansluiting A12;Duiven;1,3;5,4;4,9;23,0;1,7;7,7
20;NL:Q:41270010;Eikenlaan;Kranenburg;0,5;0,4;0,0;0,0;0,0;0,0
20;NL:Q:41270020;Eikenlaan;Kranenburg;0,5;0,2;0,0;0,0;0,0;0,0
20;NL:Q:41270030;Heiligenbeeldenmuseum;Kranenburg;0,7;0,0;0,0;0,0;0,0;0,0
20;NL:Q:41270040;Heiligenbeeldenmuseum;Kranenburg;0,1;1,7;0,0;0,0;0,0;0,0
20;NL:Q:41270060;Medler;Vorden;0,5;0,2;0,0;0,0;0,0;0,0
20;NL:Q:41310030;Centrum;Vorden;0,6;1,4;0,0;0,0;0,0;0,0
20;NL:Q:41310040;Centrum;Vorden;0,8;0,2;0,0;0,0;0,0;0,0
20;NL:Q:41310050;De Horsterkamp Zuid;Vorden;1,6;3,1;0,5;0,8;0,2;0,4
20;NL:Q:41310060;De Horsterkamp Zuid;Vorden;3,8;2,0;1,3;0,6;0,8;0,8
20;NL:Q:41310070;Mispelkampdijk;Vorden;0,3;0,6;0,0;0,0;0,0;0,0
20;NL:Q:41310080;Mispelkampdijk;Vorden;0,5;0,5;0,0;0,0;0,0;0,0
20;NL:Q:41310290;Station Vorden;Vorden;176,9;157,3;66,4;47,3;46,5;41,3
20;NL:Q:41310293;Station Vorden;Vorden;7,3;2,5;1,4;0,6;0,7;0,8
20;NL:Q:41310330;De Bleek;Vorden;0,3;9,2;0,2;3,7;0,3;2,8
20;NL:Q:41310340;De Bleek;Vorden;7,8;0,9;3,8;0,4;2,4;0,7
