STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:18500010;Noordikslaan;Almelo;0,0;0,9;0,0;0,0;0,0;0,0
NL:S:30007148;Weerdestein;Amsterdam;0,4;0,8;0,1;0,2;0,1;0,2
NL:S:31008016;Rhoon;Rhoon;1,9;1,7;1,5;1,8;0,0;0,0
NL:S:40320210;Beemdhof;Heteren;1,2;2,2;0,6;1,0;0,2;0,4
NL:S:40420130;Kerk;Indoornik;2,6;3,2;0,5;0,8;0,3;0,9
NL:S:43000010;Centraal Station;Enschede;3188,9;3116,6;1157,0;1070,6;779,4;655,6
NL:S:43000031;Van Heekplein;Enschede;457,1;447,0;349,3;348,6;127,3;131,4
NL:S:43000050;MST Haaksbergerstraat;Enschede;11,0;17,2;4,4;5,9;2,8;3,5
NL:S:43000130;Spinnerplein;Enschede;24,5;26,0;12,8;13,0;6,2;6,6
NL:S:43000195;Wkc Stadsveld;Enschede;55,0;38,8;35,5;22,3;18,1;13,0
NL:S:43000220;Deurningerstraat;Enschede;16,0;20,8;8,2;9,7;3,6;5,6
NL:S:43000240;Station Kennispark;Enschede;50,4;78,7;19,2;39,0;21,2;20,5
NL:S:43000250;Roombeek;Enschede;74,0;77,5;29,7;27,1;14,5;13,5
NL:S:43000270;Hulsmaatstraat;Enschede;80,1;66,1;24,2;19,0;15,3;13,4
NL:S:43000300;Horstlindelaan;Enschede;1,7;2,9;1,8;2,4;0,7;0,9
NL:S:43000320;Handellaan;Enschede;5,6;5,0;3,2;2,7;1,5;1,6
NL:S:43000340;Slagman;Enschede;4,5;4,5;1,0;1,1;0,4;0,5
NL:S:43000350;Stroinksbleekweg;Enschede;37,3;39,9;15,3;15,7;9,6;9,1
NL:S:43000370;Buizerdstraat;Enschede;2,8;27,1;3,2;14,5;0,5;7,6
NL:S:43000380;Spechtstraat;Enschede;6,5;2,4;2,5;0,8;1,1;0,3
NL:S:43000490;G.J. van Heekstraat;Enschede;1,0;7,6;1,1;3,7;0,6;4,3
NL:S:43000510;Van der Duijn van Maasdamlaan;Rotterdam;30,8;29,2;12,7;10,7;5,3;7,6
NL:S:43000530;Volkspark;Enschede;17,6;34,1;12,2;19,6;7,5;11,9
NL:S:43000610;Toekomststraat;Enschede;21,3;13,9;12,3;9,7;7,8;11,5
NL:S:43000630;Weegschaalstraat;Enschede;36,2;35,6;22,1;21,1;12,5;14,0
NL:S:43000650;Wkc Twekkelerveld;Enschede;66,6;62,0;53,8;46,3;28,7;29,2
NL:S:43000670;Olieslagweg;Enschede;12,1;8,9;6,0;7,2;3,6;4,9
NL:S:43000690;Jupiterstraat;Enschede;25,2;21,5;21,3;18,2;11,2;10,4
NL:S:43000711;Capitool;Enschede;10,2;12,5;1,4;2,5;0,8;1,4
NL:S:43000810;Beethovenlaan;Enschede;19,2;6,2;6,8;2,2;3,2;1,2
NL:S:43001050;Boddenkamp;Enschede;26,3;24,7;8,6;8,2;9,0;3,2
NL:S:43001090;Dr. J. van Damstraat;Enschede;4,6;2,2;2,1;1,0;1,4;0,8
NL:S:43001110;Fazantstraat;Enschede;7,9;0,4;3,0;0,1;1,2;0,1
NL:S:43001180;Waalstraat;Enschede;27,6;23,5;13,1;11,6;7,3;8,0
NL:S:43001190;Deppenbroekstraat;Enschede;2,4;9,0;1,0;3,9;0,2;1,6
NL:S:43001200;Het Achtervoort;Enschede;13,8;16,2;5,5;6,1;4,3;4,8
NL:S:43001210;Het Voortman;Enschede;3,2;8,1;2,9;5,5;0,7;2,1
NL:S:43001310;Wkc Deppenbroek;Enschede;28,3;27,3;14,2;12,8;8,5;8,9
NL:S:43001340;Vanekerstraat;Enschede;11,5;8,5;7,6;5,0;4,5;4,4
NL:S:43001360;P.A. van Deldenstraat;Enschede;7,2;7,3;3,4;3,5;2,4;2,3
NL:S:43001430;Sparrendaal;Enschede;26,0;23,1;11,4;10,0;5,8;4,7
NL:S:43001450;Gelderlandstraat;Enschede;36,9;36,5;23,5;21,9;12,5;12,8
NL:S:43001470;Utrechtlaan;Enschede;137,9;136,8;6,5;7,8;4,4;5,4
NL:S:43001490;Zuid Hollandlaan;Enschede;15,3;14,3;5,8;6,1;3,4;4,0
NL:S:43001550;Wkc Boswinkel;Enschede;73,3;75,8;46,8;47,0;23,8;28,6
NL:S:43001570;Tuindorp Broekheurne;Enschede;42,5;36,9;18,1;17,6;10,8;10,4
NL:S:43001600;Het Lang;Enschede;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:43001620;Het Riet;Enschede;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:43001630;Verrijzeniskerk;Enschede;39,3;34,0;12,5;10,1;6,8;7,0
NL:S:43001640;Lintveldebrink;Enschede;15,4;12,6;7,2;5,9;4,5;4,5
