STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Almelo,5430,5430,0,0,0,0
Almelo de Riet,622,622,0,0,0,0
Almere Buiten,3657,3657,0,0,0,0
Almere Centrum,12944,12944,0,0,0,0
Almere Muziekwijk,3200,3200,0,0,0,0
Almere Oostvaarders,2164,2164,0,0,0,0
Almere Parkwijk,1554,1554,0,0,0,0
Almere Poort,2220,2220,0,0,0,0
Amersfoort Centraal,24828,24445,1804,1398,1293,995
Apeldoorn,7517,7517,0,0,0,0
Apeldoorn Osseveld,599,599,0,0,0,0
Arnhem Centraal,21494,21494,0,0,0,0
Arnhem Presikhaaf,1384,1384,0,0,0,0
Arnhem Velperpoort,1000,1000,0,0,0,0
Arnhem Zuid,1458,1458,0,0,0,0
Assen,4162,4162,0,0,0,0
Barneveld Centrum,1503,1438,665,559,370,312
Barneveld Noord,452,435,138,124,99,73
Barneveld Zuid,330,318,114,108,61,56
Beilen,1036,1036,0,0,0,0
Borne,1096,1096,0,0,0,0
Brummen,530,530,0,0,0,0
Culemborg,4352,4352,0,0,0,0
Delden,226,94,138,58,74,34
Deventer,10392,10392,0,0,0,0
Deventer Colmschate,691,691,0,0,0,0
Dieren,1852,1852,0,0,0,0
Dronten,1726,1726,0,0,0,0
Ede Centrum,525,488,420,403,207,189
Ede-Wageningen,10308,10175,779,635,502,532
Elst,1970,1970,0,0,0,0
Enschede,8779,8779,0,0,0,0
Enschede Kennispark,1126,1126,0,0,0,0
Ermelo,1484,1484,0,0,0,0
Geldermalsen,3160,3160,0,0,0,0
Goor,563,239,227,115,129,75
Harderwijk,2940,2940,0,0,0,0
Hengelo,7258,7760,306,573,230,522
Hengelo Gezondheidspark,107,75,37,28,20,22
Hengelo Oost,48,117,32,71,19,52
Hoevelaken,575,561,204,209,141,119
Holten,646,646,0,0,0,0
Hoogeveen,2337,2337,0,0,0,0
Kampen Zuid,867,867,0,0,0,0
Lelystad Centrum,7076,7076,0,0,0,0
Lochem,168,326,74,165,64,116
Lunteren,402,380,324,256,161,122
Meppel,2994,2994,0,0,0,0
Nijkerk,1816,1816,0,0,0,0
Nijmegen,22352,22352,0,0,0,0
Nijmegen Dukenburg,1091,1091,0,0,0,0
Nijmegen Goffert,618,618,0,0,0,0
Nijmegen Lent,626,626,0,0,0,0
Nunspeet,1412,1412,0,0,0,0
Oldenzaal,950,860,427,338,413,235
Olst,613,613,0,0,0,0
Putten,958,958,0,0,0,0
Rheden,416,416,0,0,0,0
Rijssen,1214,1214,0,0,0,0
Steenwijk,1823,1823,0,0,0,0
Tiel,1818,1818,0,0,0,0
Tiel Passewaaij,778,778,0,0,0,0
Twello,738,738,0,0,0,0
Velp,736,736,0,0,0,0
Wezep,542,542,0,0,0,0
Wierden,903,903,0,0,0,0
Wijchen,2140,2140,0,0,0,0
Wijhe,607,607,0,0,0,0
Wolfheze,279,279,0,0,0,0
Zaltbommel,1868,1868,0,0,0,0
Zutphen,7259,7192,805,720,696,750
Zwolle,22754,22754,0,0,0,0
