STATION;NS;TZUHO;Valleilijn;TOTAAL
Almelo;10618.0;;;10618.0
Almelo de Riet;1240.0;;;1240.0
Almere Buiten;6458.0;;;6458.0
Almere Centrum;23784.0;;;23784.0
Almere Muziekwijk;6680.0;;;6680.0
Almere Oostvaarders;4630.0;;;4630.0
Almere Parkwijk;3584.0;;;3584.0
Almere Poort;3084.0;;;3084.0
Amersfoort Centraal;39676.0;;5323.0;44999.0
Apeldoorn;14628.0;;;14628.0
Apeldoorn Osseveld;1110.0;;;1110.0
Arnhem Centraal;39164.0;;;39164.0
Arnhem Presikhaaf;2828.0;;;2828.0
Arnhem Velperpoort;2066.0;;;2066.0
Arnhem Zuid;2908.0;;;2908.0
Assen;9136.0;;;9136.0
Barneveld Centrum;;;2825.0;2825.0
Barneveld Noord;;;1014.0;1014.0
Barneveld Zuid;;;380.0;380.0
Beilen;2124.0;;;2124.0
Borne;2272.0;;;2272.0
Brummen;1024.0;;;1024.0
Culemborg;8144.0;;;8144.0
Delden;;631.0;;631.0
Deventer;19740.0;;;19740.0
Deventer Colmschate;1464.0;;;1464.0
Dieren;3640.0;;;3640.0
Dronten;3428.0;;;3428.0
Ede Centrum;;;1003.0;1003.0
Ede-Wageningen;17600.0;;2638.0;20238.0
Elst;3710.0;;;3710.0
Enschede;18508.0;;;18508.0
Enschede Kennispark;2532.0;;;2532.0
Ermelo;2848.0;;;2848.0
Geldermalsen;5908.0;;;5908.0
Goor;;1502.0;;1502.0
Harderwijk;5628.0;;;5628.0
Heino;692.0;;;692.0
Hengelo;13436.0;4354.0;;17790.0
Hengelo Gezondheidspark;;330.0;;330.0
Hengelo Oost;;316.0;;316.0
Hoevelaken;;;980.0;980.0
Holten;1278.0;;;1278.0
Hoogeveen;4472.0;;;4472.0
Kampen;4136.0;;;4136.0
Kampen Zuid;1506.0;;;1506.0
Lelystad Centrum;13368.0;;;13368.0
Lochem;;1012.0;;1012.0
Lunteren;;;755.0;755.0
Meppel;5638.0;;;5638.0
Nijkerk;3338.0;;;3338.0
Nijmegen;43196.0;;;43196.0
Nijmegen Dukenburg;1844.0;;;1844.0
Nijmegen Goffert;712.0;;;712.0
Nijmegen Lent;1108.0;;;1108.0
Nijverdal;2958.0;;;2958.0
Nunspeet;2762.0;;;2762.0
Oldenzaal;;1735.0;;1735.0
Olst;1188.0;;;1188.0
Putten;1812.0;;;1812.0
Raalte;2116.0;;;2116.0
Rheden;804.0;;;804.0
Rijssen;2398.0;;;2398.0
Steenwijk;3232.0;;;3232.0
Tiel;3444.0;;;3444.0
Tiel Passewaaij;1434.0;;;1434.0
Twello;1432.0;;;1432.0
Velp;1416.0;;;1416.0
Wezep;1048.0;;;1048.0
Wierden;1776.0;;;1776.0
Wijchen;4100.0;;;4100.0
Wijhe;1124.0;;;1124.0
Wolfheze;528.0;;;528.0
Zaltbommel;3444.0;;;3444.0
Zutphen;11732.0;2528.0;;14260.0
Zwolle;41618.0;;;41618.0
