STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
DE:S:80000510;Markt;Elten;0,0;0,2;0,0;0,0;0,0;0,0
DE:S:80000530;Neustadt;Elten;0,0;0,0;0,0;0,0;0,0;0,0
DE:S:80000560;Hauberg;Elten;0,4;0,5;0,0;0,0;0,0;0,0
DE:S:80000570;Feldhausener Weg;Elten;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:16000010;Station;Meppel;84,60000000000001;80,3;15,2;11,8;0,0;0,0
NL:S:16000040;Ziekenhuis;Meppel;1,3;0,8;0,1;0,1;0,0;0,0
NL:S:16000260;Medisch Centrum;Meppel;0,3;0,4;0,0;0,0;0,0;0,0
NL:S:16000280;Gemeenteweg;Halfweg;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16000600;Burg. Knopperslaan;Meppel;0,2;0,1;0,0;0,0;0,0;0,0
NL:S:16000710;Steenwijkerstraatweg;Meppel;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:16000800;De Stouwe;Meppel;7,5;8,8;0,3;0,5;0,0;0,0
NL:S:16000880;Reestplantsoen;Meppel;1,2;1,0;0,1;0,2;0,0;0,0
NL:S:16000910;Leonard Springerlaan;Meppel;0,4;0,5;0,5;0,1;0,0;0,0
NL:S:16001010;Hugo de Grootstraat;Meppel;3,1;3,6;0,0;0,0;0,0;0,0
NL:S:16002610;Prinsengracht;Meppel;1,4;1,1;0,4;0,2;0,0;0,0
NL:S:16110060;Heerenweg;IJhorst;2,7;2,1;0,3;0,4;0,0;0,0
NL:S:16110081;Havixhorst;De Schiphorst;0,0;0,1;0,0;0,1;0,0;0,0
NL:S:16110090;Wiltenweg;De Wijk;0,0;0,6;0,0;0,0;0,0;0,0
NL:S:16110220;Willem Koopsweg;De Wolden;0,8;1,1;0,2;0,2;0,0;0,0
NL:S:16110230;Oosterakker;De Wijk;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:16110240;Verzorgingstehuis;De Wijk;1,3;0,6;0,6;0,2;0,0;0,0
NL:S:16110260;Sparrenlaan;IJhorst;0,8;0,5;0,1;0,0;0,0;0,0
NL:S:16180100;Vlakkenweg;Staphorst;1,0;1,8;0,1;0,2;0,0;0,0
NL:S:16180120;Geerligsland;Staphorst;1,5;2,0;0,1;0,1;0,0;0,0
NL:S:16180140;Jan Arendsland;Staphorst;2,0;2,5;0,3;0,3;0,0;0,0
NL:S:16180160;Snelweg;Staphorst;0,9;1,1;0,3;0,2;0,0;0,0
NL:S:16180180;Achthoevenweg;Staphorst;9,3;10,5;0,8;0,9;0,0;0,0
NL:S:16180200;Hoogeweg;Staphorst;15,6;12,4;1,6;1,7;0,0;0,0
NL:S:16180220;Bergerslag;Staphorst;18,6;16,5;2,7;2,2;0,0;0,0
NL:S:16180240;Gemeentehuis;Staphorst;18,5;18,3;2,5;2,0;0,0;0,0
NL:S:16180260;Lindenlaan;Staphorst;7,2;9,4;1,1;1,5;0,0;0,0
NL:S:16180280;Bejaardenhuis;Staphorst;3,6;2,8;0,8;0,8;0,0;0,0
NL:S:16180300;Prinses Beatrixstraat;Staphorst;5,4;5,0;1,5;1,2;0,0;0,0
NL:S:16180320;Boldewijnhuizen;Staphorst;0,2;0,1;0,0;0,0;0,0;0,0
NL:S:16280100;Oostermenneweg;Rouveen;2,5;1,9;0,2;0,2;0,0;0,0
NL:S:16280120;Zuideindigerweg;Rouveen;2,9;2,6;0,2;0,2;0,0;0,0
NL:S:16280140;Stadsweg;Rouveen;0,2;0,4;0,1;0,0;0,0;0,0
NL:S:16280160;Oude Rijksweg 485;Rouveen;1,2;1,1;0,1;0,2;0,0;0,0
NL:S:16280180;Hervormde Kerk;Rouveen;21,4;19,2;2,9;2,5;0,0;0,0
NL:S:16280200;Oude Rijksweg 415;Rouveen;2,3;2,3;0,2;0,4;0,0;0,0
NL:S:16280220;Oud Gereformeerde Kerk;Rouveen;1,9;1,8;0,2;0,2;0,0;0,0
NL:S:16280240;Conradsweg;Rouveen;1,5;1,6;0,0;0,1;0,0;0,0
NL:S:16280260;Schoolwijksweg;Rouveen;1,9;2,2;0,1;0,1;0,0;0,0
NL:S:16280280;Dekkersweg;Rouveen;3,2;2,7;0,2;0,2;0,0;0,0
NL:S:16300010;Gemeentehuis;Steenwijk;8,9;11,3;4,2;37,5;0,4;0,5
NL:S:16300030;Vendelweg;Steenwijk;12,1;9,2;5,5;14,1;2,9;1,6
NL:S:16300050;Matthijs Kiersstraat;Steenwijk;8,6;8,2;8,3;13,899999999999999;2,0;1,4
NL:S:16301010;Station;Steenwijk;120,0;115,9;199,3;250,70000000000002;89,5;73,9
NL:S:16380100;Haersterbroekweg;Zwolle;0,9;2,2;0,2;0,2;0,0;0,0
NL:S:16380120;Steenwetering;Lichtmis;0,6;0,5;0,3;0,2;0,0;0,0
NL:S:16380140;Meeleweg;Lichtmis;0,5;0,7;0,1;0,1;0,0;0,0
NL:S:16380190;Busstation;Lichtmis;12,7;14,8;2,2;2,6;0,0;0,0
NL:S:16580010;Noordeinde;Zwolle;1,3;1,3;0,6;0,6;0,2;0,4
NL:S:16580030;Westeinde;Zwolle;2,4;2,6;0,5;0,4;0,2;0,4
NL:S:16580050;Markteweg;Zwolle;8,2;4,8;4,1;4,3;3,1;3,3
NL:S:16580070;Kleefstraat;Zwolle;32,4;20,0;3,7;4,5;1,1;2,6
NL:S:16680010;Dedemsweg;Ruitenveen;5,5;5,9;2,9;1,2;0,9;0,9
NL:S:16680030;Kuitermansweg;Ruitenveen;2,3;2,7;0,9;0,8;0,5;0,5
NL:S:16680050;Nieuwe Kreuleweg;Ruitenveen;1,1;1,3;1,3;1,1;0,2;0,3
NL:S:16680070;Hoevenweg;Ruitenveen;3,5;3,4;1,6;1,3;1,2;1,3
NL:S:16680090;Middenweg;Ruitenveen;0,8;1,0;0,3;0,3;0,3;0,2
NL:S:16680110;Nieuwendijk;Ruitenveen;1,5;1,5;0,9;1,0;0,3;0,3
NL:S:16780001;Schuilhut;Nieuwleusen;0,7;0,4;0,1;0,1;0,0;0,0
NL:S:16780010;De Vlijt;Nieuwleusen;5,0;4,7;1,1;0,9;1,1;1,0
NL:S:16780030;Oosterhulst;Nieuwleusen;1,7;2,6;0,2;0,5;0,2;0,4
NL:S:16780050;Den Hulst;Nieuwleusen;33,7;43,4;5,7;7,7;4,5;5,3
